Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
131,F18Li6O9Tc6,0016db15c9,Li2Tc2(OF2)3,"['Li', 'O', 'F', 'Tc']",39,553.4963,3.3469,32,P3_121,152,trigonal,-253.435,-2.5867,-0.1072,intercalated ion,0.0002,False,-0.0,,-0.1072,-0.0614
304,F18Pt1S2,0034d8ad32,Pt(SF9)2,"['F', 'S', 'Pt']",21,355.2755,2.8099,m,Cm,8,monoclinic,-88.4667,-1.8913,-0.0013,0D,0.0004,False,0.0,,-0.0013,-0.0012
589,Bi4F28Pt1Tc3,0066638234,Tc3Bi4PtF28,"['F', 'Tc', 'Pt', 'Bi']",36,567.0482,5.4379,1,P1,1,triclinic,-196.3893,-2.5043,-0.0513,3D,1.4218,True,0.0,,-0.0513,-0.0486
591,As1F7H4,00669a9065,AsH4F7,"['H', 'F', 'As']",12,181.4088,1.94,1,P1,1,triclinic,-55.5122,-1.9918,-0.0361,0D,6.0452,True,0.0,,-0.0361,-0.0201
608,F28Pt1Ti3Tm4,0069d73721,Tm4Ti3PtF28,"['F', 'Ti', 'Tm', 'Pt']",36,496.9948,5.1667,1,P1,1,triclinic,-237.8089,-3.7952,-0.2081,3D,,True,0.0,,-0.2081,-0.0405
631,Ca1F12Sb1V1,006ea92e21,CaVSbF12,"['F', 'Ca', 'V', 'Sb']",15,256.1558,2.8572,1,P1,1,triclinic,-84.115,-3.0639,-0.0663,intercalated ion,3.1702,True,0.0,,-0.0663,-0.0654
755,F16K6W2,0083f761f1,K3WF8,"['F', 'K', 'W']",24,396.7308,3.7931,6mm,P6_3mc,186,hexagonal,-135.3494,-3.0078,-0.1434,intercalated ion,2.9863,False,0.0,,-0.1434,-0.0896
825,Ce7F30Y1,008ed39973,Ce7YF30,"['F', 'Y', 'Ce']",38,611.9486,4.4493,32,R32,155,trigonal,-263.4388,-4.1604,-0.0353,3D,,False,0.0,,-0.0353,-0.0324
855,F12Pd1Ru1Sb1,0094108af8,SbPdRuF12,"['F', 'Ru', 'Pd', 'Sb']",15,234.8196,3.9405,1,P1,1,triclinic,-73.9908,-2.1646,-0.046,1D,,True,0.0,,-0.046,-0.0343
910,F4O2Ti1,009d273afc,Ti(OF2)2,"['O', 'F', 'Ti']",7,133.4005,1.9401,1,P1,1,triclinic,-43.9084,-2.6387,-0.0044,0D,2.1407,True,0.0,,-0.0044,-0.0003
992,F24Pb1Sb4Sr1,00addd178d,SrSb4PbF24,"['F', 'Sr', 'Sb', 'Pb']",30,611.3868,3.3619,-4,I-4,82,tetragonal,-153.7488,-2.8652,-0.0863,intercalated ion,,True,0.0,,-0.0863,-0.0464
1069,B1F7H4,00bb82735b,BH4F7,"['H', 'B', 'F']",12,133.7802,1.835,1,P1,1,triclinic,-60.2314,-2.2167,-0.0492,0D,7.5735,True,0.0,,-0.0492,-0.0333
1139,Ce1F20Pu3Rb8,00c87239f8,Rb8CePu3F20,"['F', 'Rb', 'Ce', 'Pu']",32,622.1805,5.1665,m,Pm,6,monoclinic,-210.0856,-3.6023,-0.1234,intercalated ion,,True,0.0,,-0.1234,-0.0802
1355,F24Re1Se1Tc2,00ee17ff7b,ReTc2SeF24,"['F', 'Se', 'Tc', 'Re']",28,462.3349,3.294,m,Pm,6,monoclinic,-146.4022,-2.2809,-0.0751,0D,0.0008,True,0.0,,-0.0751,-0.0074
1391,F5O7Tc4,00f3042861,Tc4O7F5,"['O', 'F', 'Tc']",16,226.3273,4.3947,2,C2,5,monoclinic,-119.6913,-2.1285,-0.0442,3D,0.0018,True,0.0,,-0.0442,-0.0442
1399,Ce1F28Tm3Zr4,00f4228135,CeTm3Zr4F28,"['F', 'Zr', 'Ce', 'Tm']",36,570.3298,4.4948,1,P1,1,triclinic,-259.2735,-4.2278,-0.003,3D,0.1735,True,0.0,,-0.003,-0.002
1800,F8Ge1H4,0137c0e185,GeH4F8,"['H', 'F', 'Ge']",13,202.6904,1.8733,1,P1,1,triclinic,-60.7447,-2.0968,-0.0191,0D,,True,0.0,,-0.0191,-0.0045
2430,F24Ir3Re1,01a43f96bf,ReIr3F24,"['F', 'Re', 'Ir']",28,469.0615,4.3148,m,Pm,6,monoclinic,-140.8848,-2.0018,-0.0118,0D,0.0002,False,0.0,,-0.0118,-0.0072
2919,F34Rh1Se1,01f53ab859,RhSeF34,"['F', 'Se', 'Rh']",36,690.3891,1.9911,1,P1,1,triclinic,-110.8164,-0.9713,-0.3705,0D,,False,0.0,,-0.3705,-0.2744
3049,F5Li2Mo1O1,020960794f,Li2MoOF5,"['Li', 'O', 'F', 'Mo']",9,101.0026,3.6303,m,Cm,8,monoclinic,-54.8691,-2.8556,-0.032,,3.1096,,0.0,,-0.032,-0.0237
3296,Be1F8H6,0233702749,BeH6F8,"['H', 'Be', 'F']",15,165.1252,1.6799,1,P1,1,triclinic,-71.1333,-2.1164,-0.0498,intercalated ion,7.2802,False,0.0,,-0.0498,-0.0307
3416,B2Cu2F9,02494af93e,Cu2B2F9,"['B', 'F', 'Cu']",13,178.6902,2.9709,1,P1,1,triclinic,-71.9333,-2.5518,-0.0089,3D,0.3159,False,0.0,,-0.0089,-0.0085
4135,Ag8F24K7,02c588475c,K7Ag8F24,"['F', 'K', 'Ag']",39,644.6318,4.1024,m,Cm,8,monoclinic,-156.6633,-2.0604,-0.0048,intercalated ion,,False,0.0,,-0.0048,-0.0038
4169,F24Pu2Re2,02cafc42a4,PuReF12,"['F', 'Re', 'Pu']",28,467.8632,4.6721,mm2,Pmc2_1,26,orthorhombic,-179.5614,-2.8665,-0.1393,0D,,True,0.0,,-0.1393,-0.1336
