Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
589,Bi4F28Pt1Tc3,0066638234,Tc3Bi4PtF28,"['F', 'Tc', 'Pt', 'Bi']",36,567.0482,5.4379,1,P1,1,triclinic,-196.3893,-2.5043,-0.0513,3D,1.4218,True,0.0,,-0.0513,-0.0486
4562,Bi2F14Rh2,030c3f1c44,BiRhF7,"['F', 'Rh', 'Bi']",18,286.7859,5.1518,2,P2_1,4,monoclinic,-89.4977,-2.2349,-0.0313,3D,,True,0.0,,-0.0313,-0.0285
5161,Bi1F12Sr1V1,036f52543a,SrVBiF12,"['F', 'V', 'Sr', 'Bi']",15,296.3623,3.2247,1,P1,1,triclinic,-80.7555,-2.877,-0.0561,0D,,True,0.0,,-0.0561,-0.056
8773,Bi1F30Gd1Np6,05e7da8e7b,GdNp6BiF30,"['F', 'Gd', 'Bi', 'Np']",38,612.8637,6.3894,2,C2,5,monoclinic,-297.2603,-3.7959,-0.034,3D,,True,0.0,,-0.034,-0.0042
9255,Bi1F28Sb3Sn4,0636c7d6f0,Sn4BiSb3F28,"['F', 'Sn', 'Sb', 'Bi']",36,580.3043,4.5242,1,P1,1,triclinic,-184.695,-2.7461,-0.032,3D,,True,0.0,,-0.032,-0.0319
11602,Bi3F28Pb5,07cf37559d,Bi3Pb5F28,"['F', 'Pb', 'Bi']",36,618.9182,5.8888,1,P1,1,triclinic,-171.7993,-2.4457,-0.0262,3D,,True,0.0,,-0.0262,-0.0238
14818,Bi1F28Tm3Zr4,09f44f4d75,Tm3Zr4BiF28,"['F', 'Zr', 'Tm', 'Bi']",36,567.0156,4.7227,1,P1,1,triclinic,-250.8966,-4.0519,-0.006,3D,5.6781,True,0.0,,-0.006,-0.0058
17950,Bi2F28Pt4Sr1Tb1,0c045c894a,SrTbBi2Pt4F28,"['F', 'Sr', 'Tb', 'Pt', 'Bi']",36,565.7434,5.8022,1,P1,1,triclinic,-180.0822,-2.4493,-0.0612,intercalated ion,0.0016,True,0.0,,-0.0612,-0.0331
20580,Bi1F28Pt4Tb3,0dbe1e1fe1,Tb3BiPt4F28,"['F', 'Tb', 'Pt', 'Bi']",36,536.8909,6.1797,1,P1,1,triclinic,-194.1151,-2.7366,-0.0178,3D,2.265,True,0.0,,-0.0178,-0.0178
21065,Bi1C1F34,0e0e73ed27,BiCF34,"['C', 'F', 'Bi']",36,679.7249,2.1179,1,P1,1,triclinic,-110.9312,-0.9118,-0.2537,intercalated ion,,True,0.0,,-0.2537,-0.2536
23148,Bi2F14Pu2,0f633c7d44,PuBiF7,"['F', 'Bi', 'Pu']",18,329.8367,5.9,2,P2_1,4,monoclinic,-123.7271,-3.3695,-0.0228,3D,,True,0.0,,-0.0228,-0.0219
