Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
825,Ce7F30Y1,008ed39973,Ce7YF30,"['F', 'Y', 'Ce']",38,611.9486,4.4493,32,R32,155,trigonal,-263.4388,-4.1604,-0.0353,3D,,False,0.0,,-0.0353,-0.0324
1139,Ce1F20Pu3Rb8,00c87239f8,Rb8CePu3F20,"['F', 'Rb', 'Ce', 'Pu']",32,622.1805,5.1665,m,Pm,6,monoclinic,-210.0856,-3.6023,-0.1234,intercalated ion,,True,0.0,,-0.1234,-0.0802
1399,Ce1F28Tm3Zr4,00f4228135,CeTm3Zr4F28,"['F', 'Zr', 'Ce', 'Tm']",36,570.3298,4.4948,1,P1,1,triclinic,-259.2735,-4.2278,-0.003,3D,0.1735,True,0.0,,-0.003,-0.002
11720,Ce1F16K4Np3,07e47bb796,K4CeNp3F16,"['F', 'K', 'Ce', 'Np']",24,382.4524,5.6942,m,Pm,6,monoclinic,-167.7612,-3.665,-0.0529,intercalated ion,,True,0.0,,-0.0529,-0.0328
19595,Ca9Ce1F2Sn6,0d20074602,Ca9CeSn6F2,"['F', 'Ca', 'Sn', 'Ce']",18,496.1052,4.1875,m,Cm,8,monoclinic,-74.5629,-1.2611,-0.0182,intercalated ion,0.2016,True,0.0,,-0.0182,-0.0159
29173,Ce3F15La1,13749d00b0,LaCe3F15,"['F', 'La', 'Ce']",19,326.5032,4.2936,3m,R3m,160,trigonal,-130.4641,-4.1609,-0.0096,3D,2.3535,False,0.0,,-0.0096,-0.0096
30888,Ce2F14Ir2,149d43cac8,CeIrF7,"['F', 'Ce', 'Ir']",18,279.2499,5.534,2,P2_1,4,monoclinic,-110.6106,-3.017,-0.0458,3D,0.3522,True,0.0,,-0.0458,-0.0457
41215,Ce1F12Gd3,1b8150b2f5,CeGd3F12,"['F', 'Ce', 'Gd']",16,213.151,6.5428,m,Pm,6,monoclinic,-141.2306,-4.3794,-0.2215,3D,,True,0.0,,-0.2215,-0.0032
45079,Ce1F28Gd3Zr4,1e1cf89744,CeGd3Zr4F28,"['F', 'Zr', 'Ce', 'Gd']",36,588.1949,4.2593,1,P1,1,triclinic,-288.0917,-4.2266,-0.0331,3D,,True,0.0,,-0.0331,-0.0295
46250,Ce1F20Rb8Y3,1edf9a0857,Rb8CeY3F20,"['F', 'Rb', 'Y', 'Ce']",32,610.8377,3.9976,m,Pm,6,monoclinic,-190.2687,-3.7144,-0.0466,intercalated ion,0.2801,True,0.0,,-0.0466,-0.0069
