Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
10068,F30Hf3Lu2Zr3,06c7213892,Lu2Hf3Zr3F30,"['F', 'Zr', 'Lu', 'Hf']",38,504.6718,5.6891,1,P1,1,triclinic,-280.7327,-4.1798,-0.0088,3D,,True,0.0,,-0.0088,-0.0088
15151,F30Hf5Lu2Tc1,0a29df01f3,Lu2Hf5TcF30,"['F', 'Tc', 'Lu', 'Hf']",38,491.8619,6.4493,2,C2,5,monoclinic,-278.642,-4.0029,-0.0198,3D,,True,0.0,,-0.0198,-0.0198
16658,F28Hf1Tb4W3,0b25c4b1de,Tb4HfW3F28,"['F', 'Tb', 'Hf', 'W']",36,551.0039,5.7189,1,P1,1,triclinic,-255.7018,-3.7448,-0.0796,3D,,False,0.0,,-0.0796,-0.0706
19511,F28Hf3Rh1Tb4,0d11ec8f65,Tb4Hf3RhF28,"['F', 'Rh', 'Tb', 'Hf']",36,552.7339,5.4257,1,P1,1,triclinic,-253.057,-3.9934,-0.0117,3D,0.0931,True,0.0,,-0.0117,-0.0097
30660,Ba2F20Hf3Zr1,1473c94971,Ba2Hf3ZrF20,"['F', 'Zr', 'Ba', 'Hf']",26,415.0428,5.1264,1,P1,1,triclinic,-189.1071,-4.1777,-0.0194,intercalated ion,5.9967,True,0.0,,-0.0194,-0.009
31609,F30Hf2Lu1Tm1Zr4,151b994b94,TmLuHf2Zr4F30,"['F', 'Zr', 'Tm', 'Lu', 'Hf']",38,509.2151,5.3341,2,C2,5,monoclinic,-278.679,-4.164,-0.008,3D,,True,0.0,,-0.008,-0.0077
32260,F28Hf3Pt1Tb4,158bf394bb,Tb4Hf3PtF28,"['F', 'Tb', 'Hf', 'Pt']",36,553.2949,5.6969,1,P1,1,triclinic,-251.2096,-3.978,-0.0042,3D,2.6541,True,0.0,,-0.0042,-0.0029
32525,F28Hf4Tm1Y3,15b7d2710e,Y3TmHf4F28,"['F', 'Y', 'Tm', 'Hf']",36,552.6914,5.0522,1,P1,1,triclinic,-272.6618,-4.3177,-0.0047,3D,7.0022,True,0.0,,-0.0047,-0.0024
41920,F14Hf1Re1Tm2,1bf6308100,Tm2HfReF14,"['F', 'Tm', 'Hf', 'Re']",18,268.7082,5.9853,1,P1,1,triclinic,-126.8413,-3.8182,-0.0947,3D,1.6761,True,0.0,,-0.0947,-0.0081
44906,F14Hf2Lu1Tb1,1dff937bea,TbLuHf2F14,"['F', 'Tb', 'Lu', 'Hf']",18,276.1536,5.7536,1,P1,1,triclinic,-133.6802,-4.325,-0.0011,3D,6.8613,True,0.0,,-0.0011,-0.0003
44922,F28Hf1Tc3Tm4,1e01aa8927,Tm4HfTc3F28,"['F', 'Tc', 'Tm', 'Hf']",36,514.0925,5.4271,1,P1,1,triclinic,-242.5287,-3.6129,-0.1876,3D,,True,0.0,,-0.1876,-0.0616
52129,F28Hf3Ru1Y4,22b300a10a,Y4Hf3RuF28,"['F', 'Y', 'Ru', 'Hf']",36,550.988,4.5933,1,P1,1,triclinic,-262.8914,-4.0099,-0.0118,3D,0.1061,True,0.0,,-0.0118,-0.0088
52719,Bi1F28Hf4Tb3,23178d2b3e,Tb3Hf4BiF28,"['F', 'Tb', 'Hf', 'Bi']",36,567.3174,5.654,1,P1,1,triclinic,-260.1022,-4.1377,-0.0127,3D,,True,0.0,,-0.0127,-0.0114
54850,F14Hf1Pu2Re1,247370d2ed,Pu2HfReF14,"['F', 'Hf', 'Re', 'Pu']",18,299.6893,6.1984,1,P1,1,triclinic,-142.4869,-3.5994,-0.0199,3D,,False,0.0,,-0.0199,-0.0179
60381,Ce1F28Hf4La3,283c1084ba,La3CeHf4F28,"['F', 'La', 'Ce', 'Hf']",36,614.1926,4.8739,1,P1,1,triclinic,-269.818,-4.3257,-0.0068,3D,,True,0.0,,-0.0068,-0.0057
60864,F30Hf4Lu2Zr2,288b2c51d9,LuHf2ZrF15,"['F', 'Zr', 'Lu', 'Hf']",38,502.7974,5.9985,2,C2,5,monoclinic,-282.7815,-4.1966,-0.0092,3D,,True,0.0,,-0.0092,-0.0092
61193,F28Hf2La4V2,28c412364f,La2HfVF14,"['F', 'V', 'La', 'Hf']",36,598.2306,4.2925,2,P2_1,4,monoclinic,-256.0551,-4.0197,-0.0177,3D,2.0618,True,0.0,,-0.0177,-0.0172
66505,F28Hf1Pt3Tm1Y3,2c6606bff0,Y3TmHfPt3F28,"['F', 'Y', 'Tm', 'Hf', 'Pt']",36,529.7322,5.4272,1,P1,1,triclinic,-223.0018,-3.2621,-0.0016,3D,2.4275,True,0.0,,-0.0016,-0.0013
73185,F30Hf3Pt1Y2Zr2,30cec4cf08,Y2Hf3Zr2PtF30,"['F', 'Y', 'Zr', 'Hf', 'Pt']",38,512.356,5.3825,2,C2,5,monoclinic,-269.7321,-3.8531,-0.0057,3D,2.5105,True,0.0,,-0.0057,-0.0051
73468,Ce2F14Hf1Zr1,3101239836,Ce2HfZrF14,"['F', 'Zr', 'Ce', 'Hf']",18,315.8,4.2903,1,P1,1,triclinic,-133.1966,-4.2258,-0.0031,3D,0.1833,True,0.0,,-0.0031,-0.0008
74299,F22Hf1Np2Zr3,318745103d,HfZr3Np2F22,"['F', 'Zr', 'Hf', 'Np']",28,446.5708,4.998,m,Cm,8,monoclinic,-215.6386,-4.0032,-0.0369,3D,0.1327,True,0.0,,-0.0369,-0.0363
75492,F28Hf3Lu4Pt1,324fdf7973,Lu4Hf3PtF28,"['F', 'Lu', 'Hf', 'Pt']",36,522.7955,6.233,1,P1,1,triclinic,-250.7158,-3.9769,-0.005,3D,2.6059,True,0.0,,-0.005,-0.005
76676,F14Hf1Tm2Zr1,331bf8572a,Tm2HfZrF14,"['F', 'Zr', 'Tm', 'Hf']",18,274.0612,5.2929,1,P1,1,triclinic,-131.3631,-4.2859,-0.001,3D,5.9102,False,0.0,,-0.001,-0.0002
76952,F22Hf4Tb1Y1,334ddbeb8c,TbYHf4F22,"['F', 'Y', 'Tb', 'Hf']",28,413.3902,5.5423,222,I222,23,orthorhombic,-212.1705,-4.2567,-0.0083,3D,6.5063,True,0.0,,-0.0083,-0.0069
79415,Ba6F20Hf1Zr1,34f5a52815,Ba6HfZrF20,"['F', 'Zr', 'Ba', 'Hf']",28,466.4145,5.2465,mm2,Amm2,38,orthorhombic,-185.474,-4.1866,-0.0094,intercalated ion,5.8169,True,0.0,,-0.0094,-0.0032
86747,F28Hf3Ru1Tb4,39e1a9232e,Tb4Hf3RuF28,"['F', 'Ru', 'Tb', 'Hf']",36,555.1458,5.3967,1,P1,1,triclinic,-256.196,-4.0275,-0.0124,3D,0.1212,True,-0.0,,-0.0124,-0.01
91443,F10Hf1,3cff2915c7,HfF10,"['F', 'Hf']",11,191.588,3.1937,1,P1,1,triclinic,-51.7888,-2.0652,-0.1892,intercalated molecule,2.7299,True,0.0,,-0.1892,-0.1892
91664,F28Hf3Pt1Tb3Tm1,3d22d4f0b6,Tb3TmHf3PtF28,"['F', 'Tb', 'Tm', 'Hf', 'Pt']",36,549.2565,5.769,1,P1,1,triclinic,-251.1135,-3.9797,-0.0046,3D,,False,0.0,,-0.0046,-0.0034
95560,F15Hf3Tb1,3fc7a316b0,TbHf3F15,"['F', 'Tb', 'Hf']",19,261.7305,6.2136,3m,R3m,160,trigonal,-143.5449,-4.2298,-0.0093,3D,6.8188,True,0.0,,-0.0094,-0.0085
96821,Bi2F14Hf1Zr1,409a24f3e8,HfZrBi2F14,"['F', 'Zr', 'Hf', 'Bi']",18,305.4336,5.1847,1,P1,1,triclinic,-116.3782,-3.5185,-0.023,3D,5.2381,True,0.0,,-0.023,-0.023
103277,F28Hf3Pt1Y4,44e0cda645,Y4Hf3PtF28,"['F', 'Y', 'Hf', 'Pt']",36,551.1667,4.8751,1,P1,1,triclinic,-257.9137,-3.9607,-0.0041,3D,2.6433,False,0.0,,-0.0041,-0.0021
104493,F28Hf1Y4Zr3,45aec474af,Y4HfZr3F28,"['F', 'Y', 'Zr', 'Hf']",36,569.0457,3.9095,1,P1,1,triclinic,-267.8186,-4.2453,-0.005,3D,6.0399,True,0.0,,-0.005,-0.0042
110896,F28Hf3Pt1Tm2Y2,49e2b884f7,Y2Tm2Hf3PtF28,"['F', 'Y', 'Tm', 'Hf', 'Pt']",36,541.6401,5.4515,1,P1,1,triclinic,-254.3295,-3.9717,-0.004,3D,,True,0.0,,-0.004,-0.0027
117546,F22Hf3Lu1Pu2,4e46421c04,LuPu2Hf3F22,"['F', 'Lu', 'Hf', 'Pu']",28,434.0478,6.1839,m,Cm,8,monoclinic,-220.7974,-4.1363,-0.0254,3D,,True,0.0,,-0.0254,-0.0251
117789,Bi4F28Hf3Pt1,4e6dd9f69a,Hf3Bi4PtF28,"['F', 'Hf', 'Pt', 'Bi']",36,585.6346,5.95,1,P1,1,triclinic,-220.8969,-3.2187,-0.046,3D,2.5289,True,-0.0,,-0.046,-0.046
118470,F30Hf5Pt1Tb2,4edddcfb9e,Tb2Hf5PtF30,"['F', 'Tb', 'Hf', 'Pt']",38,507.2584,6.4664,2,C2,5,monoclinic,-270.4529,-3.8943,-0.0058,3D,,True,0.0,,-0.0058,-0.0053
121250,F28Hf1Pd3Tb4,50b330714b,Tb4HfPd3F28,"['F', 'Pd', 'Tb', 'Hf']",36,530.7759,5.2102,1,P1,1,triclinic,-213.8906,-3.2315,-0.0367,3D,1.8244,True,0.0,,-0.0367,-0.0363
121871,F30Hf6In1Sc1,51297720ae,Hf6ScInF30,"['F', 'Sc', 'In', 'Hf']",38,475.4765,6.2886,32,R32,155,trigonal,-278.7224,-4.0145,-0.0054,3D,5.9869,True,0.0,,-0.0054,-0.0053
123526,F30Hf3Tm2Zr3,52419cdc55,Tm2Hf3Zr3F30,"['F', 'Zr', 'Tm', 'Hf']",38,509.3626,5.5974,1,P1,1,triclinic,-280.7312,-4.1821,-0.0082,3D,,True,0.0,,-0.0082,-0.0076
123799,F28Hf3Tb4V1,526ce701df,Tb4Hf3VF28,"['F', 'V', 'Tb', 'Hf']",36,550.3005,5.2929,1,P1,1,triclinic,-261.0892,-4.1687,-0.0115,3D,2.1255,False,0.0,,-0.0115,-0.0101
127942,Ce2F22Hf3V1,552b2b5eb4,Ce2Hf3VF22,"['F', 'V', 'Ce', 'Hf']",28,419.6938,5.0826,m,Cm,8,monoclinic,-206.0724,-4.0428,-0.0065,3D,0.1856,True,0.0,,-0.0065,-0.0065
139490,Ce2F22Hf2Sc1Zr1,5cd75c6e4d,Ce2Hf2ZrScF22,"['F', 'Sc', 'Zr', 'Ce', 'Hf']",28,428.2386,4.6196,m,Cm,8,monoclinic,-206.5177,-4.2073,-0.0395,3D,0.074,True,-0.0,,-0.0395,-0.0395
140548,F28Hf4Tb3Y1,5d94321052,Tb3YHf4F28,"['F', 'Y', 'Tb', 'Hf']",36,559.6187,5.3755,1,P1,1,triclinic,-269.4298,-4.3253,-0.0053,3D,7.0335,True,0.0,,-0.0053,-0.0033
143348,F22Hf3Np2Tm1,5f6d6576cc,TmHf3Np2F22,"['F', 'Tm', 'Hf', 'Np']",28,436.0152,6.0797,m,Cm,8,monoclinic,-217.6733,-4.1206,-0.0254,3D,,True,0.0,,-0.0254,-0.0247
144813,F28Hf1Pt3Tb3Tm1,6062fb7da7,Tb3TmHfPt3F28,"['F', 'Tb', 'Tm', 'Hf', 'Pt']",36,533.5098,6.0426,1,P1,1,triclinic,-218.015,-3.2762,-0.0019,3D,2.4285,True,0.0,,-0.0019,-0.0016
149372,F28Hf1Pt3Tb3Y1,636e7c89df,Tb3YHfPt3F28,"['F', 'Y', 'Tb', 'Hf', 'Pt']",36,537.8511,5.7467,1,P1,1,triclinic,-219.8038,-3.2706,-0.0019,3D,2.4108,True,0.0,,-0.0019,-0.0012
150787,F28Hf3Np4Zr1,645970812c,Hf3ZrNp4F28,"['F', 'Zr', 'Hf', 'Np']",36,609.7441,5.7371,1,P1,1,triclinic,-288.2988,-4.0158,-0.0521,3D,,True,0.0,,-0.0521,-0.0513
151228,Ac2F14Hf1Ir1,64a31f421c,Ac2HfIrF14,"['F', 'Hf', 'Ir', 'Ac']",18,331.1068,5.4699,1,P1,1,triclinic,-120.2046,-3.6892,-0.1043,3D,0.0011,True,0.0,,-0.1043,-0.0508
151818,F28Hf4La3Np1,650d46b91e,La3Hf4NpF28,"['F', 'La', 'Hf', 'Np']",36,614.1926,5.1359,1,P1,1,triclinic,-274.6075,-4.2639,-0.0102,3D,,True,0.0,,-0.0102,-0.0096
153009,F30Hf6In1V1,65df757f58,Hf6VInF30,"['F', 'V', 'In', 'Hf']",38,471.289,6.3656,32,R32,155,trigonal,-277.1059,-3.8995,-0.0037,3D,2.6393,True,0.0,,-0.0037,-0.0037
155018,F9Hf2K1,67329cb58e,KHf2F9,"['F', 'K', 'Hf']",12,223.1004,4.2207,32,P321,150,trigonal,-86.2932,-4.0054,-0.0259,intercalated ion,7.4029,True,-0.0,,-0.0259,-0.0181
155713,Bi4F28Hf3Sn1,67abaf66d0,Hf3SnBi4F28,"['F', 'Sn', 'Hf', 'Bi']",36,585.6346,5.7334,1,P1,1,triclinic,-224.5527,-3.3775,-0.0466,3D,,True,0.0,,-0.0466,-0.0465
156984,Ac2F14Hf2,68785d89e3,AcHfF7,"['F', 'Hf', 'Ac']",18,335.919,5.3237,2,P2_1,4,monoclinic,-133.3777,-4.3589,-0.1036,3D,7.0183,True,0.0,,-0.1036,-0.0501
157441,F11Hf2Mg1Na1,68c49a9b49,NaHf2MgF11,"['F', 'Na', 'Mg', 'Hf']",15,214.449,4.7486,m,Cm,8,monoclinic,-103.6005,-3.9825,-0.0405,intercalated ion,6.9952,False,0.0,,-0.0405,-0.0028
157761,F30Hf5Lu2Sn1,68f84bd103,Lu2Hf5SnF30,"['F', 'Sn', 'Lu', 'Hf']",38,492.8362,6.5064,2,C2,5,monoclinic,-274.0936,-4.0503,-0.009,3D,,False,0.0,,-0.009,-0.0089
158269,F10Hf1,6947dcc26a,HfF10,"['F', 'Hf']",11,191.588,3.1937,1,P1,1,triclinic,-51.7888,-2.0652,-0.1892,intercalated molecule,,True,0.0,,-0.1892,-0.1892
159059,F30Hf2Lu1Y1Zr4,69cb389a5c,YLuHf2Zr4F30,"['F', 'Y', 'Zr', 'Lu', 'Hf']",38,516.5374,5.0012,2,C2,5,monoclinic,-280.4254,-4.1576,-0.0068,3D,,False,0.0,,-0.0068,-0.0062
163147,Ce2F22Hf3Y1,6c8d88c7a0,Ce2YHf3F22,"['F', 'Y', 'Ce', 'Hf']",28,440.934,4.9808,m,Cm,8,monoclinic,-208.7637,-4.2324,-0.0089,3D,0.0951,True,0.0,,-0.0089,-0.008
164587,F30Hf5Lu2Re1,6d75d69b59,Lu2Hf5ReF30,"['F', 'Lu', 'Hf', 'Re']",38,492.8362,6.7338,2,C2,5,monoclinic,-280.1456,-3.9876,-0.0061,3D,1.7828,True,0.0,,-0.0061,-0.0051
165266,F28Hf4Tm3Y1,6deb94e14b,YTm3Hf4F28,"['F', 'Y', 'Tm', 'Hf']",36,542.8983,5.6329,1,P1,1,triclinic,-269.0863,-4.3289,-0.0049,3D,7.0479,True,0.0,,-0.0049,-0.0033
166740,F28Hf3Tm4V1,6ee4aee60b,Tm4Hf3VF28,"['F', 'V', 'Tm', 'Hf']",36,539.4673,5.5224,1,P1,1,triclinic,-260.6757,-4.1749,-0.0518,3D,,True,0.0,,-0.0518,-0.009
170211,F30Hf5Lu2Pb1,713eeceeff,Lu2Hf5PbF30,"['F', 'Lu', 'Hf', 'Pb']",38,492.8362,6.8045,2,C2,5,monoclinic,-270.8449,-3.9726,-0.0062,3D,,True,0.0,,-0.0062,-0.0061
171968,Ba2F20Hf1Zr3,727117ddf8,Ba2HfZr3F20,"['F', 'Zr', 'Ba', 'Hf']",26,420.9659,4.3658,1,P1,1,triclinic,-184.8633,-4.1229,-0.0066,intercalated ion,5.8066,True,-0.0,,-0.0066,-0.0029
172263,F28Gd4Hf3W1,72a6703d06,Gd4Hf3WF28,"['F', 'Gd', 'Hf', 'W']",36,558.2052,5.5934,1,P1,1,triclinic,-300.253,-4.0977,-0.0605,3D,,True,0.0,,-0.0605,-0.0227
174200,F22Hf3Np2Sc1,73f6e44cba,Hf3Np2ScF22,"['F', 'Sc', 'Hf', 'Np']",28,425.3897,5.7476,m,Cm,8,monoclinic,-218.4355,-4.0815,-0.027,3D,0.0827,True,0.0,,-0.027,-0.0267
179949,F28Hf1Tb4Zr3,77cd23164d,Tb4HfZr3F28,"['F', 'Zr', 'Tb', 'Hf']",36,570.9862,4.7107,1,P1,1,triclinic,-261.0996,-4.2622,-0.0051,3D,6.0538,True,0.0,,-0.0051,-0.0032
181692,F30Hf3Lu2Pt2Zr1,78f8fb6c96,Lu2Hf3ZrPt2F30,"['F', 'Zr', 'Lu', 'Hf', 'Pt']",38,490.982,6.5502,1,P1,1,triclinic,-251.7629,-3.5478,-0.0103,3D,,True,0.0,,-0.0103,-0.0103
184144,F28Hf4Tb1Tm3,7a9145115a,TbTm3Hf4F28,"['F', 'Tb', 'Tm', 'Hf']",36,539.2854,5.8862,1,P1,1,triclinic,-267.3722,-4.3322,-0.0039,3D,7.0877,True,0.0,,-0.0039,-0.0026
