Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
1399,Ce1F28Tm3Zr4,00f4228135,CeTm3Zr4F28,"['F', 'Zr', 'Ce', 'Tm']",36,570.3298,4.4948,1,P1,1,triclinic,-259.2735,-4.2278,-0.003,3D,0.1735,True,0.0,,-0.003,-0.002
9265,F28Tc1Y4Zr3,06388a524f,Y4Zr3TcF28,"['F', 'Y', 'Zr', 'Tc']",36,561.6636,3.7229,1,P1,1,triclinic,-259.5609,-4.0047,-0.0264,3D,1.7861,True,-0.0,,-0.0264,-0.0262
10068,F30Hf3Lu2Zr3,06c7213892,Lu2Hf3Zr3F30,"['F', 'Zr', 'Lu', 'Hf']",38,504.6718,5.6891,1,P1,1,triclinic,-280.7327,-4.1798,-0.0088,3D,,True,0.0,,-0.0088,-0.0088
14080,F24K6Li2Zr4,096eaf411f,K3LiZr2F12,"['Li', 'F', 'K', 'Zr']",36,669.5821,2.6519,-42m,P-42_1c,114,tetragonal,-223.221,-3.6854,-0.0187,intercalated ion,6.7188,True,0.0,,-0.0187,-0.012
14818,Bi1F28Tm3Zr4,09f44f4d75,Tm3Zr4BiF28,"['F', 'Zr', 'Tm', 'Bi']",36,567.0156,4.7227,1,P1,1,triclinic,-250.8966,-4.0519,-0.006,3D,5.6781,True,0.0,,-0.006,-0.0058
16413,F28Tb4Tc1Zr3,0afa69484a,Tb4Zr3TcF28,"['F', 'Zr', 'Tc', 'Tb']",36,563.9386,4.5326,1,P1,1,triclinic,-252.8453,-4.0217,-0.0263,3D,1.7941,True,0.0,,-0.0263,-0.0249
17733,F30Pd1Pt1Y2Zr4,0bdf208984,Y2Zr4PdPtF30,"['F', 'Y', 'Zr', 'Pd', 'Pt']",38,513.9826,4.5688,2,C2,5,monoclinic,-247.7028,-3.4733,-0.0056,3D,1.3741,True,0.0,,-0.0056,-0.0055
22088,F30Pt1Tm2Zr5,0eb878cdff,Tm2Zr5PtF30,"['F', 'Zr', 'Tm', 'Pt']",38,511.3989,5.0622,2,C2,5,monoclinic,-259.9242,-3.811,-0.016,3D,2.5063,True,0.0,,-0.016,-0.0158
26735,F28La1Np3Zr4,11d2360a53,LaZr4Np3F28,"['F', 'Zr', 'La', 'Np']",36,622.1277,4.6623,1,P1,1,triclinic,-276.7596,-4.0352,-0.0346,3D,0.0162,False,0.0,,-0.0346,-0.0339
28996,F28Tb1Tm3Zr4,13536eb46b,TbTm3Zr4F28,"['F', 'Zr', 'Tb', 'Tm']",36,556.3972,4.6634,1,P1,1,triclinic,-258.5545,-4.2439,-0.0051,3D,5.987,True,0.0,,-0.0051,-0.0044
30660,Ba2F20Hf3Zr1,1473c94971,Ba2Hf3ZrF20,"['F', 'Zr', 'Ba', 'Hf']",26,415.0428,5.1264,1,P1,1,triclinic,-189.1071,-4.1777,-0.0194,intercalated ion,5.9967,True,0.0,,-0.0194,-0.009
31609,F30Hf2Lu1Tm1Zr4,151b994b94,TmLuHf2Zr4F30,"['F', 'Zr', 'Tm', 'Lu', 'Hf']",38,509.2151,5.3341,2,C2,5,monoclinic,-278.679,-4.164,-0.008,3D,,True,0.0,,-0.008,-0.0077
33111,F28Tb4V1Zr3,161f090ef4,Tb4Zr3VF28,"['F', 'V', 'Zr', 'Tb']",36,560.5135,4.4209,1,P1,1,triclinic,-254.4147,-4.1008,-0.0106,3D,2.1453,True,-0.0,,-0.0106,-0.0091
35488,F28Rh1Tb4Zr3,17a4ddf555,Tb4Zr3RhF28,"['F', 'Zr', 'Rh', 'Tb']",36,562.8969,4.5555,1,P1,1,triclinic,-246.3919,-3.9257,-0.011,3D,0.1069,False,0.0,,-0.011,-0.0089
36613,Bi4F28Pt1Zr3,186a64110a,Zr3Bi4PtF28,"['F', 'Zr', 'Pt', 'Bi']",36,593.0519,5.1426,1,P1,1,triclinic,-214.2749,-3.1522,-0.0281,3D,2.5256,True,0.0,,-0.0281,-0.028
37613,F28Pt3Tb4Zr1,1913544417,Tb4ZrPt3F28,"['F', 'Zr', 'Tb', 'Pt']",36,540.4854,5.6657,1,P1,1,triclinic,-215.8858,-3.2518,-0.0012,3D,2.4257,False,0.0,,-0.0012,-0.0007
40161,F28Mo1Y4Zr3,1acc586fc4,Y4Zr3MoF28,"['F', 'Y', 'Zr', 'Mo']",36,569.0457,3.6686,1,P1,1,triclinic,-261.4983,-4.0451,-0.0161,3D,,True,0.0,,-0.0161,-0.004
40973,F30Pd2Tb1Y1Zr4,1b584edf74,TbYZr4Pd2F30,"['F', 'Y', 'Zr', 'Pd', 'Tb']",38,515.0455,4.4992,2,C2,5,monoclinic,-244.6308,-3.4641,-0.0107,3D,1.9182,True,0.0,,-0.0107,-0.0102
45079,Ce1F28Gd3Zr4,1e1cf89744,CeGd3Zr4F28,"['F', 'Zr', 'Ce', 'Gd']",36,588.1949,4.2593,1,P1,1,triclinic,-288.0917,-4.2266,-0.0331,3D,,True,0.0,,-0.0331,-0.0295
45193,Bi1F22Pu1Zr4,1e2f040635,PuZr4BiF22,"['F', 'Zr', 'Bi', 'Pu']",28,442.7836,4.6347,222,I222,23,orthorhombic,-201.9223,-3.84,-0.0114,3D,,True,0.0,,-0.0114,-0.0113
50573,F28La4Tc1Zr3,21a7091668,La4Zr3TcF28,"['F', 'Zr', 'Tc', 'La']",36,626.3557,3.8686,1,P1,1,triclinic,-254.5493,-4.0356,-0.0289,3D,1.822,True,0.0,,-0.0289,-0.0275
50982,F28La4Pt1Zr3,21ee3b9fe6,La4Zr3PtF28,"['F', 'Zr', 'La', 'Pt']",36,622.4167,4.1521,1,P1,1,triclinic,-246.2912,-3.9253,-0.0235,3D,2.6953,True,-0.0,,-0.0235,-0.0221
53408,Bi4F28Ir1Zr3,238e04e0c8,Zr3Bi4IrF28,"['F', 'Zr', 'Ir', 'Bi']",36,593.052,5.1345,1,P1,1,triclinic,-217.4839,-3.1645,-0.0204,3D,,True,0.0,,-0.0204,-0.0203
58240,F28Tb3Tm1Zr4,26c889105f,Tb3TmZr4F28,"['F', 'Zr', 'Tb', 'Tm']",36,568.0577,4.5092,1,P1,1,triclinic,-258.7679,-4.241,-0.0049,3D,6.0235,True,0.0,,-0.0049,-0.0034
59363,F28Lu1Np3Zr4,2782ffbd57,LuZr4Np3F28,"['F', 'Zr', 'Lu', 'Np']",36,596.386,4.964,1,P1,1,triclinic,-276.2916,-4.0338,-0.0368,3D,inf,False,0.0,,-0.0368,-0.036
59865,Ce1F13K5Zr1,27de18b91a,K5CeZrF13,"['F', 'K', 'Zr', 'Ce']",20,371.7675,3.0096,m,Cm,8,monoclinic,-117.4685,-3.6293,-0.0383,intercalated ion,2.5555,False,0.0,,-0.0383,-0.0146
60864,F30Hf4Lu2Zr2,288b2c51d9,LuHf2ZrF15,"['F', 'Zr', 'Lu', 'Hf']",38,502.7974,5.9985,2,C2,5,monoclinic,-282.7815,-4.1966,-0.0092,3D,,True,0.0,,-0.0092,-0.0092
62383,F22In1Np2Zr3,298af463af,Zr3Np2InF22,"['F', 'Zr', 'In', 'Np']",28,439.6552,4.8362,m,Cm,8,monoclinic,-202.6548,-3.7969,-0.0079,3D,,True,0.0,,-0.0079,-0.0054
68432,F14Tc1Tm2Zr1,2da6428476,Tm2ZrTcF14,"['F', 'Zr', 'Tc', 'Tm']",18,270.5533,4.8675,1,P1,1,triclinic,-123.0951,-3.8041,-0.1221,3D,1.6739,True,0.0,,-0.1221,-0.0382
69726,F28Np1Tb3Zr4,2e7f1acf02,Tb3Zr4NpF28,"['F', 'Zr', 'Tb', 'Np']",36,585.9573,4.5643,1,P1,1,triclinic,-264.5581,-4.1665,-0.0125,3D,0.1949,True,0.0,,-0.0125,-0.0109
70366,F28W1Y4Zr3,2eef756433,Y4Zr3WF28,"['F', 'Y', 'Zr', 'W']",36,562.9689,3.9675,1,P1,1,triclinic,-263.7874,-4.05,-0.0296,3D,,True,0.0,,-0.0296,-0.0265
73185,F30Hf3Pt1Y2Zr2,30cec4cf08,Y2Hf3Zr2PtF30,"['F', 'Y', 'Zr', 'Hf', 'Pt']",38,512.356,5.3825,2,C2,5,monoclinic,-269.7321,-3.8531,-0.0057,3D,2.5105,True,0.0,,-0.0057,-0.0051
73468,Ce2F14Hf1Zr1,3101239836,Ce2HfZrF14,"['F', 'Zr', 'Ce', 'Hf']",18,315.8,4.2903,1,P1,1,triclinic,-133.1966,-4.2258,-0.0031,3D,0.1833,True,0.0,,-0.0031,-0.0008
74299,F22Hf1Np2Zr3,318745103d,HfZr3Np2F22,"['F', 'Zr', 'Hf', 'Np']",28,446.5708,4.998,m,Cm,8,monoclinic,-215.6386,-4.0032,-0.0369,3D,0.1327,True,0.0,,-0.0369,-0.0363
76676,F14Hf1Tm2Zr1,331bf8572a,Tm2HfZrF14,"['F', 'Zr', 'Tm', 'Hf']",18,274.0612,5.2929,1,P1,1,triclinic,-131.3631,-4.2859,-0.001,3D,5.9102,False,0.0,,-0.001,-0.0002
77033,F28Lu3Pt1Tb1Zr3,335bc7d5b5,TbLu3Zr3PtF28,"['F', 'Zr', 'Tb', 'Lu', 'Pt']",36,540.7328,5.1731,1,P1,1,triclinic,-244.1922,-3.91,-0.0038,3D,2.6192,False,0.0,,-0.0038,-0.0018
79137,F28Ru1Tb4Zr3,34c6899c5b,Tb4Zr3RuF28,"['F', 'Zr', 'Ru', 'Tb']",36,562.6651,4.5519,1,P1,1,triclinic,-249.5167,-3.9595,-0.0113,3D,0.1315,True,0.0,,-0.0113,-0.0089
79415,Ba6F20Hf1Zr1,34f5a52815,Ba6HfZrF20,"['F', 'Zr', 'Ba', 'Hf']",28,466.4145,5.2465,mm2,Amm2,38,orthorhombic,-185.474,-4.1866,-0.0094,intercalated ion,5.8169,True,0.0,,-0.0094,-0.0032
