Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
2242,Ag2I4O24Sm6,018278c4b7,Sm3Ag(IO6)2,"['O', 'Ag', 'I', 'Sm']",36,478.7908,6.9693,2,P2,3,monoclinic,-233.0861,-2.0628,-0.0487,3D,,True,0.0,,-0.0487,-0.0191
4878,Eu4F1I2O3,033cbad35a,Eu4I2O3F,"['O', 'F', 'I', 'Eu']",10,238.7225,6.4597,222,C222,21,orthorhombic,-91.6606,-3.0689,-0.1453,3D,0.0012,True,0.0,,-0.1453,-0.0562
5186,I2Nb2O24Pr8,0372bbe5ad,Pr4NbIO12,"['O', 'Nb', 'I', 'Pr']",36,500.0006,6.479,m,Pc,7,monoclinic,-287.2461,-2.9721,-0.0642,3D,,True,0.0,,-0.0642,-0.0592
6695,I2O8P2Sn4,047b809e80,Sn2PIO4,"['O', 'P', 'Sn', 'I']",16,343.7053,4.438,mm2,Ama2,40,orthorhombic,-101.7208,-2.014,-0.0078,intercalated ion,2.0253,True,0.0,,-0.0078,-0.0014
9170,Cu2I2O12Tm2,0629014459,TmCuIO6,"['O', 'Cu', 'I', 'Tm']",18,221.2773,6.8347,m,Cc,9,monoclinic,-110.9659,-1.744,-0.0266,3D,,True,0.0,,-0.0266,-0.0253
9947,Ca1I1Lu5O12,06b0f096d3,CaLu5IO12,"['O', 'Ca', 'I', 'Lu']",19,249.5459,8.2101,1,P1,1,triclinic,-148.7604,-3.329,-0.048,intercalated ion,,True,0.0,,-0.048,-0.0475
11140,Ba1Ho1I1O6,07834974d5,BaHoIO6,"['O', 'I', 'Ba', 'Ho']",9,156.7063,5.5648,32,P312,149,trigonal,-59.1678,-2.3838,-0.0763,intercalated ion,2.1725,False,0.0,,-0.0763,-0.0751
11499,Ba1I1In1O6,07bfc1ff1e,BaInIO6,"['O', 'In', 'I', 'Ba']",9,151.2274,5.2162,32,P312,149,trigonal,-52.3736,-1.8323,-0.0905,intercalated ion,2.1425,True,0.0,,-0.0905,-0.0893
12542,Cd3Ce1I2O12,086be4b5cd,CeCd3(IO6)2,"['O', 'Cd', 'I', 'Ce']",18,253.5452,6.046,mm2,Cmm2,35,orthorhombic,-98.4584,-1.5185,-0.0463,3D,0.7827,True,0.0,,-0.0463,-0.0448
13641,I2Nb2O26Se8,091f05f6f7,NbSe4IO13,"['O', 'Se', 'Nb', 'I']",38,631.2657,3.9123,m,Pc,7,monoclinic,-234.5855,-1.44,-0.0026,3D,2.0988,True,0.0,,-0.0026,-0.0026
13786,Eu1Ga1I1O6,0937bd1dde,EuGaIO6,"['O', 'Ga', 'I', 'Eu']",9,124.3689,5.936,32,P312,149,trigonal,-62.0409,-1.9454,-0.0585,3D,0.0113,True,0.0,,-0.0585,-0.0451
16565,I2O24Sb2Sm8,0b137f082b,Sm4SbIO12,"['O', 'Sb', 'I', 'Sm']",36,500.7778,6.911,m,Pc,7,monoclinic,-268.2939,-2.7913,-0.03,3D,1.4043,True,0.0,,-0.03,-0.0148
18242,Cu1I1O6Sr1,0c34414243,SrCuIO6,"['O', 'Cu', 'Sr', 'I']",9,126.3037,4.9179,32,P312,149,trigonal,-50.5846,-1.5094,-0.0797,intercalated ion,0.3485,True,-0.0,,-0.0797,-0.0776
19739,Br1I3Nb2O2,0d392955a3,Nb2I3BrO2,"['O', 'Br', 'Nb', 'I']",8,232.3084,4.8494,1,P1,1,triclinic,-50.0114,-1.713,-0.0459,2D,0.8324,False,0.0,,-0.0459,-0.0019
21005,Cu1I1O6Y1,0e048a2d51,YCuIO6,"['O', 'Cu', 'Y', 'I']",9,115.0384,5.4181,32,P312,149,trigonal,-57.3056,-1.7254,-0.0234,3D,,True,0.0,,-0.0234,-0.0223
21186,I1Li1O6Pd1,0e23874e6c,LiPdIO6,"['Li', 'O', 'Pd', 'I']",9,114.1126,4.8932,32,P312,149,trigonal,-48.0251,-1.0802,-0.0675,intercalated ion,,True,0.0,,-0.0675,-0.0384
21752,I2O24Pr8W2,0e80d4f5ef,Pr4WIO12,"['O', 'I', 'Pr', 'W']",36,537.2327,6.5921,2,P2_1,4,monoclinic,-288.9741,-2.8614,-0.0481,3D,,True,0.0,,-0.0481,-0.0456
22045,Ge1I1Na1O6,0eb28f79c6,NaGeIO6,"['O', 'Na', 'Ge', 'I']",9,118.9705,4.4459,32,P312,149,trigonal,-50.4971,-1.4822,-0.0546,intercalated ion,2.3571,True,0.0,,-0.0546,-0.053
22298,Al1I1O6Pb1,0ed9525abb,AlPbIO6,"['O', 'Al', 'I', 'Pb']",9,123.0711,6.1672,32,P312,149,trigonal,-54.5884,-1.7687,-0.0735,3D,,True,0.0,,-0.0735,-0.0732
