Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
886,Cd3Mo4O24P6,009989d2ae,Cd3Mo4(PO4)6,"['O', 'P', 'Mo', 'Cd']",37,503.4632,4.2574,1,P1,1,triclinic,-284.8302,-2.3635,-0.0354,3D,2.4472,True,0.0,,-0.0354,-0.0325
3049,F5Li2Mo1O1,020960794f,Li2MoOF5,"['Li', 'O', 'F', 'Mo']",9,101.0026,3.6303,m,Cm,8,monoclinic,-54.8691,-2.8556,-0.032,,3.1096,,0.0,,-0.032,-0.0237
5423,Mo1O20Pu5,039e05551e,Pu5MoO20,"['O', 'Mo', 'Pu']",26,464.2727,5.8511,1,P1,1,triclinic,-250.1127,-2.6526,-0.2504,3D,,True,0.0,,-0.2504,-0.2466
8927,Hf1Mo3O14Sr6,05ff26cf20,Sr6HfMo3O14,"['O', 'Sr', 'Mo', 'Hf']",24,349.8577,5.7716,2,C2,5,monoclinic,-192.4187,-2.9382,-0.0069,intercalated ion,1.5355,True,-0.0,,-0.0069,-0.0069
10173,As6Mo1Nb3O24,06d9c0c01f,Nb3Mo(AsO4)6,"['O', 'As', 'Nb', 'Mo']",34,559.2126,3.5876,3,R3,146,trigonal,-259.4439,-2.1055,-0.0303,3D,1.6645,True,0.0,,-0.0303,-0.0138
10192,Ir1Mo1O18Sc4Sr6,06dc25be2c,Sr6Sc4MoIrO18,"['O', 'Sc', 'Sr', 'Mo', 'Ir']",30,402.8869,5.2826,m,Cm,8,monoclinic,-237.8207,-3.1202,-0.0272,intercalated ion,,True,0.0,,-0.0272,-0.0236
11467,Mo4O24P6Pb2,07ba4f964a,Mo2P3PbO12,"['O', 'P', 'Mo', 'Pb']",36,527.0427,4.3101,2,C2,5,monoclinic,-289.7961,-2.4377,-0.0245,3D,1.3055,True,0.0,,-0.0245,-0.0221
11755,Mo1O8Ta1Tb2,07ea7b4cf5,Tb2TaMoO8,"['O', 'Mo', 'Tb', 'Ta']",12,152.2314,7.8836,2,P2,3,monoclinic,-111.365,-3.3174,-0.0034,3D,1.6244,True,0.0,,-0.0034,-0.0001
13588,Ba8Ir1Mo3O20,091837506d,Ba8Mo3IrO20,"['O', 'Mo', 'Ba', 'Ir']",32,513.9626,6.1342,m,Pm,6,monoclinic,-239.4303,-2.617,-0.0659,intercalated ion,,True,0.0,,-0.0659,-0.022
13805,Mo4O22P3S1,093a972f0d,Mo4P3SO22,"['O', 'P', 'S', 'Mo']",30,438.424,3.26,m,Pm,6,monoclinic,-237.5767,-2.1654,-0.0029,3D,1.4115,False,0.0,,-0.0029,-0.0028
14660,Cs4K1Mo12O68P12Rb3,09d50523cd,Cs4KRb3Mo12(P3O17)4,"['O', 'P', 'K', 'Rb', 'Mo', 'Cs']",100,1592.9565,3.5839,1,P1,1,triclinic,-778.4102,-2.3921,-0.0011,intercalated ion,,True,0.0,,-0.0011,-0.0009
17899,Mo2Nb2O24P6,0bf97c1c99,NbMo(PO4)3,"['O', 'P', 'Nb', 'Mo']",34,505.6662,3.1115,1,P1,1,triclinic,-284.7118,-2.6937,-0.0121,intercalated ion,1.8207,True,0.0,,-0.0121,-0.0106
19128,Ga5La3Mo1O14,0cd03f58c3,La3Ga5MoO14,"['O', 'Ga', 'Mo', 'La']",23,314.1507,5.7365,2,C2,5,monoclinic,-174.7642,-2.813,-0.0069,3D,2.0731,True,0.0,,-0.0069,-0.0036
19285,Ac1Mo2Na1O8,0cebac1683,NaAc(MoO4)2,"['O', 'Na', 'Mo', 'Ac']",12,182.5411,5.1839,-4,I-4,82,tetragonal,-97.2776,-2.5466,-0.1595,intercalated ion,,True,0.0,,-0.1595,-0.1595
22674,Mo4Na4O16Sn4,0f15d28298,NaSnMoO4,"['O', 'Na', 'Mo', 'Sn']",28,355.0635,5.6427,mm2,Pmc2_1,26,orthorhombic,-200.1709,-2.0104,-0.0202,intercalated ion,0.8539,False,0.0,,-0.0202,-0.0112
24270,Mo5O24P6Y1,101f7b9e9e,YMo5(PO4)6,"['O', 'P', 'Y', 'Mo']",36,526.4214,3.5911,2,C2,5,monoclinic,-304.4535,-2.5702,-0.0273,3D,3.1946,False,0.0,,-0.0273,-0.0251
27429,Ag2Mo2O24P6Ti2,1247493ea9,TiAgMo(PO4)3,"['O', 'P', 'Ti', 'Mo', 'Ag']",36,494.1951,3.606,2,C2,5,monoclinic,-287.0688,-2.5747,-0.0113,intercalated ion,1.6496,False,0.0,,-0.0113,-0.0101
30933,Mo2O13Pb4Sb2,14a4a31e72,Sb2Mo2Pb4O13,"['O', 'Mo', 'Sb', 'Pb']",21,306.4396,7.9775,2,C2,5,monoclinic,-147.9827,-1.8504,-0.0377,3D,0.3348,True,0.0,,-0.0377,-0.0309
31469,Mo1O13Pb4Sb3,150261e08c,Sb3MoPb4O13,"['O', 'Mo', 'Sb', 'Pb']",21,309.5542,8.0358,3m,R3m,160,trigonal,-140.8425,-1.8303,-0.0336,3D,0.1199,True,0.0,,-0.0336,-0.0302
31595,Mo1O8Re1V1,1518144ea6,VReMoO8,"['O', 'V', 'Mo', 'Re']",11,187.7395,4.0782,3m,P3m1,156,trigonal,-95.8254,-2.1698,-0.016,2D,1.6089,False,0.0,,-0.016,-0.0117
