Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
1014,La8O20Se4,00b206afb8,La2SeO5,"['O', 'Se', 'La']",32,551.211,5.2631,mm2,Aem2,39,orthorhombic,-248.6726,-3.0076,-0.0269,3D,3.528,True,0.0,,-0.0269,-0.0269
2826,Ac1O8Rb1Se2,01e8f2fd41,RbAc(SeO4)2,"['O', 'Se', 'Rb', 'Ac']",12,229.8559,4.3229,2,C2,5,monoclinic,-76.0879,-2.0342,-0.2448,intercalated ion,3.6343,False,0.0,,-0.2448,-0.2442
13641,I2Nb2O26Se8,091f05f6f7,NbSe4IO13,"['O', 'Se', 'Nb', 'I']",38,631.2657,3.9123,m,Pc,7,monoclinic,-234.5855,-1.44,-0.0026,3D,2.0988,True,0.0,,-0.0026,-0.0026
14506,Hg2O24Rh4Se8,09b8af54dc,HgRh2(SeO3)4,"['O', 'Se', 'Rh', 'Hg']",38,539.9888,5.6228,1,P1,1,triclinic,-220.0188,-1.1378,-0.0028,3D,0.7392,True,0.0,,-0.0028,-0.0028
16315,La10O24Se3,0ae8edb486,La10(SeO8)3,"['O', 'Se', 'La']",37,595.2938,5.6066,2,C2,5,monoclinic,-291.8596,-3.0611,-0.0805,3D,,True,0.0,,-0.0805,-0.0711
22650,Ag2O24Sb2Se6,0f10ac2904,AgSb(SeO4)3,"['O', 'Se', 'Ag', 'Sb']",34,648.4579,3.3725,1,P1,1,triclinic,-190.7071,-1.0899,-0.0298,3D,,True,0.0,,-0.0298,-0.0039
23814,F28Nb3O4Se4Ta1,0fd0665937,TaNb3Se4(OF7)4,"['O', 'F', 'Se', 'Nb', 'Ta']",40,690.6854,3.2973,m,Pm,6,monoclinic,-240.4024,-2.7736,-0.0056,0D,4.5377,True,0.0,,-0.0056,-0.0056
25834,Cd2O24Se8V4,1139da827e,V2Cd(SeO3)4,"['O', 'V', 'Se', 'Cd']",38,588.6478,4.0742,m,Pc,7,monoclinic,-247.3617,-1.6437,-0.0164,3D,1.9367,True,0.0,,-0.0164,-0.0164
27205,Na2O14Sb2Se4,121edba06b,NaSbSe2O7,"['O', 'Na', 'Se', 'Sb']",22,335.1039,4.1096,mm2,Cmc2_1,36,orthorhombic,-128.9758,-1.5822,-0.0158,intercalated ion,2.534,True,0.0,,-0.0158,-0.0158
31473,Ba2Cl2Nb2O16Pb2Se4,1502c3d41e,BaNbPbSe2ClO8,"['O', 'Cl', 'Se', 'Nb', 'Ba', 'Pb']",28,490.5543,5.1371,2,P2_1,4,monoclinic,-188.836,-2.1615,-0.0083,intercalated ion,,True,0.0,,-0.0083,-0.0065
34968,O24Se8V4Zn2,1750626be1,V2Zn(SeO3)4,"['O', 'V', 'Zn', 'Se']",38,561.2855,3.9947,m,Pc,7,monoclinic,-249.021,-1.6697,-0.0109,3D,1.9372,True,0.0,,-0.0109,-0.0109
35068,Ac4O4Se3,17614cf66e,Ac4Se3O4,"['O', 'Se', 'Ac']",11,258.254,7.7729,mm2,Amm2,38,orthorhombic,-81.9699,-3.2005,-0.4254,3D,,True,0.0,,-0.4254,-0.0043
37626,Li1Mg1O24Se8V4,191671b373,LiMgV4(SeO3)8,"['Li', 'O', 'Mg', 'V', 'Se']",38,551.4104,3.7663,1,P1,1,triclinic,-253.8965,-1.7719,-0.0214,intercalated ion,,True,0.0,,-0.0214,-0.016
39630,B4Li4O32S7Se1,1a72889aad,Li4B4SeS7O32,"['Li', 'B', 'O', 'S', 'Se']",48,646.7019,2.276,1,P1,1,triclinic,-323.9962,-2.0595,-0.0048,intercalated ion,,True,0.0,,-0.0048,-0.0021
43879,Cs2O24Se4Ta6,1d4424219c,CsTa3(SeO6)2,"['O', 'Se', 'Cs', 'Ta']",36,609.1185,5.5922,6mm,P6_3mc,186,hexagonal,-299.3468,-2.6021,-0.0572,intercalated ion,,True,-0.0,,-0.0572,-0.0572
45828,Cs4O24Se4V4,1e9bcc31cf,CsVSeO6,"['O', 'V', 'Se', 'Cs']",36,667.2273,3.5718,222,P2_12_12_1,19,orthorhombic,-239.1761,-1.8479,-0.0416,intercalated ion,1.9265,True,0.0,,-0.0416,-0.0135
