Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
400,O10P1S1Tc2,004615cd9b,Tc2PSO10,"['O', 'P', 'S', 'Tc']",14,181.5394,3.8329,2,C2,5,monoclinic,-107.5551,-1.986,-0.0595,3D,0.0047,True,0.0,,-0.0595,-0.0595
3815,Ac2O15S4,028b1ff3c3,Ac2S4O15,"['O', 'S', 'Ac']",21,334.4237,4.0828,1,P1,1,triclinic,-151.1558,-2.4832,-0.3907,3D,5.1102,True,0.0,,-0.3907,-0.3907
6791,Cd4Ga6O16S1,048e17f337,Cd4Ga6SO16,"['O', 'S', 'Ga', 'Cd']",27,429.3478,4.4711,-4,I-4,82,tetragonal,-159.2,-2.0013,-0.0106,3D,2.1892,True,0.0,,-0.0106,-0.0106
9832,Na2O64S16Sb6,069ab74c1f,NaSb3(SO4)8,"['O', 'Na', 'S', 'Sb']",88,1173.1948,3.2746,m,Pc,7,monoclinic,-561.2904,-1.716,-0.0366,intercalated ion,,True,0.0,,-0.0366,-0.0344
9979,F8Li1Na11O32S8V4,06b70f2ab7,Na11LiV4S8(O4F)8,"['Li', 'O', 'F', 'Na', 'S', 'V']",64,863.8575,2.6605,2,P2,3,monoclinic,-412.4076,-2.389,-0.0144,intercalated ion,,True,0.0,,-0.0144,-0.004
13805,Mo4O22P3S1,093a972f0d,Mo4P3SO22,"['O', 'P', 'S', 'Mo']",30,438.424,3.26,m,Pm,6,monoclinic,-237.5767,-2.1654,-0.0029,3D,1.4115,False,0.0,,-0.0029,-0.0028
16519,H8O2S4Sr2,0b0bd0949b,SrH4S2O,"['H', 'O', 'S', 'Sr']",16,241.5303,2.362,mm2,Pmc2_1,26,orthorhombic,-76.2204,-1.2036,-0.0052,intercalated ion,3.9784,True,0.0,,-0.0052,-0.0044
16931,Ac2Gd2O24S6,0b578f5646,AcGd(SO4)3,"['O', 'S', 'Gd', 'Ac']",34,580.5307,3.8469,m,Cc,9,monoclinic,-269.5615,-2.634,-0.3985,3D,,True,0.0,,-0.3985,-0.3259
18985,In1O24Pu3S6,0cb7c23bd1,Pu3In(SO4)6,"['O', 'S', 'In', 'Pu']",34,578.4729,4.0854,3,R3,146,trigonal,-267.5574,-2.3068,-0.1001,3D,,True,-0.0,,-0.1001,-0.0994
20659,O2S13,0dca119f9f,S13O2,"['O', 'S']",15,1004.6891,0.7418,1,P1,1,triclinic,-68.3298,-0.3107,-0.0061,0D,0.628,True,0.0,,-0.0061,-0.0049
39630,B4Li4O32S7Se1,1a72889aad,Li4B4SeS7O32,"['Li', 'B', 'O', 'S', 'Se']",48,646.7019,2.276,1,P1,1,triclinic,-323.9962,-2.0595,-0.0048,intercalated ion,,True,0.0,,-0.0048,-0.0021
44569,O56S12Ta8,1dc1b16d93,Ta2S3O14,"['O', 'S', 'Ta']",76,1012.611,4.4741,mm2,Pna2_1,33,orthorhombic,-593.5065,-2.2621,-0.0362,3D,,True,0.0,,-0.0362,-0.0362
47209,Gd2La2O24S6,1f7f32bd4c,LaGd(SO4)3,"['O', 'S', 'La', 'Gd']",34,580.5307,3.3429,m,Cc,9,monoclinic,-271.1617,-2.6343,-0.2863,3D,2.9692,True,0.0,,-0.2863,-0.1018
49091,Cs2I2O16S4,20b6278eaf,CsS2IO8,"['O', 'S', 'I', 'Cs']",24,486.0017,3.0883,2,C2,5,monoclinic,-141.0717,-1.6883,-0.0605,intercalated ion,2.8925,True,-0.0,,-0.0605,-0.0389
50451,Ba2O26S7Se1,2192a07ad1,Ba2SeS7O26,"['O', 'S', 'Se', 'Ba']",36,570.1226,2.8953,1,P1,1,triclinic,-234.1146,-1.9216,-0.002,intercalated ion,2.7756,True,0.0,,-0.002,-0.0018
55805,O25S1Ta9,251984a4ff,Ta9SO25,"['O', 'S', 'Ta']",35,469.6006,7.2864,-4,I-4,82,tetragonal,-345.3263,-3.1649,-0.0068,3D,,False,0.0,,-0.0068,-0.0065
57770,Bi2Cu2O2S1Se1,267540d6c1,Cu2Bi2SeSO2,"['O', 'S', 'Cu', 'Se', 'Bi']",8,137.0996,8.3339,4mm,P4mm,99,tetragonal,-41.2472,-0.9675,-0.0222,2D,0.4208,True,0.0,,-0.0222,-0.002
58597,O12S2Tb3Y1,2703bbbf75,Tb3Y(SO6)2,"['O', 'S', 'Y', 'Tb']",18,219.3144,6.2223,1,P1,1,triclinic,-145.0009,-3.1657,-0.0174,3D,5.2746,True,0.0,,-0.0174,-0.0174
69237,Bi1La3O12S2,2e322c6b80,La3Bi(SO6)2,"['O', 'S', 'La', 'Bi']",18,250.7545,5.8396,1,P1,1,triclinic,-137.9124,-2.8648,-0.0143,3D,3.9101,True,0.0,,-0.0143,-0.0056
74592,O24Pd3S6,31b5f5bb04,Pd(SO4)2,"['O', 'S', 'Pd']",33,438.8704,3.3888,3,R3,146,trigonal,-205.608,-1.409,-0.0627,3D,,True,0.0,,-0.0627,-0.0437
76339,N1Np2O1S1,32e1dd690c,Np2SNO,"['N', 'O', 'S', 'Np']",5,83.2197,10.6966,3m,P3m1,156,trigonal,-54.8006,-2.2968,-0.1336,3D,0.0002,True,0.0,,-0.1336,-0.0215
78558,B8Ba2O52S12Sr2,3461eca097,BaSrB4(S3O13)2,"['B', 'O', 'S', 'Sr', 'Ba']",76,965.3418,3.0157,mm2,Pmc2_1,26,orthorhombic,-543.14,-2.31,-0.0132,intercalated ion,6.2061,True,0.0,,-0.0132,-0.0011
84281,Cs1O8S2Tm1,3841c4fdc3,CsTm(SO4)2,"['O', 'S', 'Cs', 'Tm']",12,227.8183,3.6004,32,P321,150,trigonal,-84.2625,-2.5862,-0.0299,intercalated ion,5.5553,True,0.0,,-0.0299,-0.0298
86714,Bi3Cu4O4Pb1S4,39dbb3b786,Cu4Bi3Pb(SO)4,"['O', 'S', 'Cu', 'Pb', 'Bi']",16,271.3301,7.8372,4mm,I4mm,107,tetragonal,-83.9609,-0.9902,-0.0211,2D,0.0068,True,0.0,,-0.0211,-0.0005
90837,Np8O72S16,3c966b6230,NpS2O9,"['O', 'S', 'Np']",96,1439.5258,4.1077,mm2,Pca2_1,29,orthorhombic,-741.0385,-2.2398,-0.0945,3D,,True,0.0,,-0.0945,-0.092
90917,F8Ga3Na12O32S8V1,3ca3765528,Na12VGa3S8(O4F)8,"['O', 'F', 'Na', 'S', 'V', 'Ga']",64,800.6744,3.0206,2,P2,3,monoclinic,-389.7894,-2.3286,-0.0136,intercalated ion,,True,0.0,,-0.0136,-0.0111
91922,Ca2O24S6Zr2,3d52151e75,CaZr(SO4)3,"['O', 'S', 'Ca', 'Zr']",34,542.74,2.5669,3,R3,146,trigonal,-249.6955,-2.5006,-0.035,intercalated ion,,True,0.0,,-0.035,-0.0042
95619,O12S2Tb1Y3,3fd15287d7,TbY3(SO6)2,"['O', 'S', 'Y', 'Tb']",18,219.2373,5.1638,1,P1,1,triclinic,-148.4506,-3.1538,-0.0095,3D,5.2015,True,-0.0,,-0.0095,-0.0094
96775,Au4Ca1O32S8Sr1,40939a4f0d,SrCaAu4(SO4)8,"['O', 'S', 'Ca', 'Sr', 'Au']",46,746.7736,3.7447,2,C2,5,monoclinic,-288.2182,-1.7392,-0.0307,intercalated ion,,True,0.0,,-0.0307,-0.0303
98461,Bi1Cd1O16S2Sb5,41a54cb515,CdBiSb5(SO8)2,"['O', 'S', 'Cd', 'Sb', 'Bi']",25,404.0767,5.1381,1,P1,1,triclinic,-158.2758,-1.8151,-0.0162,3D,3.2179,False,0.0,,-0.0162,-0.0139
100253,Al4F12K8O16S3Se1,42dea081b0,K8Al4SeS3(O4F3)4,"['O', 'F', 'Al', 'S', 'K', 'Se']",44,656.1625,2.7327,2,P2,3,monoclinic,-265.5075,-2.8098,-0.0067,intercalated ion,,True,0.0,,-0.0067,-0.0053
106530,Na2O24S6W2,470ab42494,NaW(SO4)3,"['O', 'Na', 'S', 'W']",34,556.3389,2.955,1,P1,1,triclinic,-236.556,-1.8946,-0.0016,intercalated ion,2.4039,True,0.0,,-0.0016,-0.0012
110137,Np2O28S8,49632f7ba9,Np(S2O7)2,"['O', 'S', 'Np']",38,550.7156,3.5535,1,P1,1,triclinic,-273.4744,-1.9985,-0.0709,3D,0.001,True,0.0,,-0.0709,-0.0684
110973,F8Ga3Na12O32S8V1,49f0c44b2d,Na12VGa3S8(O4F)8,"['O', 'F', 'Na', 'S', 'V', 'Ga']",64,800.6744,3.0206,2,P2,3,monoclinic,-389.7894,-2.3286,-0.0136,intercalated ion,,True,0.0,,-0.0136,-0.0111
111917,Li2O24S6W2,4a93dead3f,LiW(SO4)3,"['Li', 'O', 'S', 'W']",34,542.9096,2.9299,1,P1,1,triclinic,-238.1645,-1.9077,-0.0029,intercalated ion,2.4085,True,0.0,,-0.0029,-0.0011
113743,Ge3Hg1O24S6,4bcca42636,HgGe3(SO4)6,"['O', 'S', 'Ge', 'Hg']",34,457.6066,3.6102,3,R3,146,trigonal,-215.8107,-1.7171,-0.0126,3D,,True,0.0,,-0.0126,-0.0121
114191,N1O3S24,4c15a9eeb1,S24NO3,"['N', 'O', 'S']",28,959.4778,1.4392,3m,R3m,160,trigonal,-136.8636,-0.5146,-0.2698,,,,0.0,,-0.2698,-0.2488
120593,Ca3O56S16Si2Sr1,5042bef3e4,SrCa3Si2(S2O7)8,"['O', 'Si', 'S', 'Ca', 'Sr']",78,1109.235,2.5045,1,P1,1,triclinic,-524.2774,-2.0827,-0.0016,intercalated ion,,True,0.0,,-0.0016,-0.0016
122114,B8Ba4O52S9Se3,5151d7f5b3,Ba4B8Se3S9O52,"['B', 'O', 'S', 'Se', 'Ba']",76,1035.3204,3.1969,1,P1,1,triclinic,-532.8359,-2.1936,-0.0065,intercalated ion,,True,0.0,,-0.0065,-0.0062
125167,As1F12Na8O16S4Sb3,5350a00708,Na8Sb3AsS4(O4F3)4,"['O', 'F', 'Na', 'S', 'As', 'Sb']",44,629.1892,3.2629,m,Cm,8,monoclinic,-251.282,-2.3865,-0.004,2D,,True,-0.0,,-0.004,-0.0036
130739,Ga3O24Rh1S6,570b0cd966,Ga3Rh(SO4)6,"['O', 'S', 'Ga', 'Rh']",34,431.7885,3.4167,3,R3,146,trigonal,-222.7516,-1.8451,-0.0242,3D,2.1011,True,0.0,,-0.0242,-0.0242
