Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
8100,B8Ce1O20Zr3,056e07c29b,CeZr3(B2O5)4,"['B', 'O', 'Zr', 'Ce']",32,291.2775,4.6762,1,P1,1,triclinic,-286.5374,-3.2052,-0.0044,3D,2.0884,True,0.0,,-0.0044,-0.0044
8285,As3O14P1Zr2,05972ee5e6,Zr2As3PO14,"['O', 'P', 'As', 'Zr']",20,335.0591,3.2817,1,P1,1,triclinic,-156.1918,-2.5217,-0.058,3D,3.6248,True,0.0,,-0.058,-0.0237
11535,Ge6Nb3O1Zr7,07c53f1e33,Zr7Nb3Ge6O,"['O', 'Ge', 'Zr', 'Nb']",17,303.0677,7.5016,32,P312,149,trigonal,-140.0767,-1.0149,-0.0314,3D,0.0036,False,0.0,,-0.0314,-0.0089
18052,F24Hf4In4O2Zr2,0c15ceedd6,Hf2ZrIn2OF12,"['O', 'F', 'Zr', 'In', 'Hf']",36,529.9891,5.7764,m,Cm,8,monoclinic,-254.3524,-3.6292,-0.0395,intercalated ion,,True,0.0,,-0.0395,-0.0167
20552,O12Rb2Te3Zr1,0db8a05fcc,Rb2Zr(TeO4)3,"['O', 'Rb', 'Zr', 'Te']",18,285.8469,4.862,2,C2,5,monoclinic,-116.1719,-2.0476,-0.0963,intercalated ion,1.5282,True,0.0,,-0.0963,-0.0867
20869,Hf1O6Re6Ta2Zr17,0dea86c626,HfZr17Ta2(ReO)6,"['O', 'Zr', 'Hf', 'Ta', 'Re']",32,554.4047,9.8974,mm2,Amm2,38,orthorhombic,-325.2195,-1.3088,-0.0296,3D,0.0025,True,0.0,,-0.0296,-0.0208
21818,Hf1Lu4O12Sn1Zr1,0e8b31b564,Lu4HfZrSnO12,"['O', 'Zr', 'Sn', 'Lu', 'Hf']",19,241.9135,8.7881,1,P1,1,triclinic,-171.5377,-3.7665,-0.0151,3D,4.0155,True,0.0,,-0.0151,-0.0148
21835,O2Si1Zn1Zr6,0e8e165604,Zr6ZnSiO2,"['O', 'Si', 'Zn', 'Zr']",10,169.7349,6.5825,mm2,Amm2,38,orthorhombic,-82.7333,-1.4866,-0.0223,3D,0.0069,True,0.0,,-0.0223,-0.0101
22440,Cu1O2P1Zr6,0eef1dbbd9,Zr6CuPO2,"['O', 'P', 'Cu', 'Zr']",10,165.2738,6.7704,mm2,Amm2,38,orthorhombic,-86.3395,-1.5645,-0.0224,3D,0.0053,True,0.0,,-0.0224,-0.0109
35720,O2P1Si1Zr6,17caebdb44,Zr6SiPO2,"['O', 'Si', 'P', 'Zr']",10,165.0447,6.4231,mm2,Amm2,38,orthorhombic,-89.3662,-1.7345,-0.0196,3D,0.009,True,-0.0,,-0.0196,-0.0186
