Number,Code,CS,order
1,P1,NCS,1
2,P-1,CS,0
3,P2,NCS,2
4,P21,NCS,2
5,C2,NCS,2
6,P1m1,NCS,1
7,P1c1,NCS,1
8,Cm,NCS,1
9,Cc,NCS,1
10,P2/m,CS,0
11,P21/m,CS,0
12,C2/m,CS,0
13,P2/c,CS,0
14,P21/c,CS,0
15,C2/c,CS,0
16,P222,NCS,1
17,P2221,NCS,1
18,P21212,NCS,1
19,P212121,NCS,1
20,C2221,NCS,1
21,C222,NCS,1
22,F222,NCS,1
23,I222,NCS,1
24,I212121,NCS,1
25,Pmm2,NCS,1
26,Pmc21,NCS,1
27,Pcc2,NCS,1
28,Pma2,NCS,1
29,Pca21,NCS,1
30,Pnc2,NCS,1
31,Pmn21,NCS,1
32,Pba2,NCS,1
33,Pna21,NCS,1
34,Pnn2,NCS,1
35,Cmm2,NCS,1
36,Cmc21,NCS,1
37,Ccc2,NCS,1
38,Amm2,NCS,1
39,Aem2,NCS,1
40,Ama2,NCS,1
41,Aea2,NCS,1
42,Fmm2,NCS,1
43,Fdd2,NCS,1
44,Imm2,NCS,1
45,Iba2,NCS,1
46,Ima2,NCS,1
47,Pmmm,CS,0
48,Pnnn,CS,0
49,Pccm,CS,0
50,Pban,CS,0
51,Pmma,CS,0
52,Pnna,CS,0
53,Pmna,CS,0
54,Pcca,CS,0
55,Pbam,CS,0
56,Pccn,CS,0
57,Pbcm,CS,0
58,Pnnm,CS,0
59,Pmmn,CS,0
60,Pbcn,CS,0
61,Pbca,CS,0
62,Pnma,CS,0
63,Cmcm,CS,0
64,Cmce,CS,0
65,Cmmm,CS,0
66,Cccm,CS,0
67,Cmme,CS,0
68,Ccce,CS,0
69,Fmmm,CS,0
70,Fddd,CS,0
71,Immm,CS,0
72,Ibam,CS,0
73,Ibca,CS,0
74,Imma,CS,0
75,P4,NCS,2
76,P41,NCS,2
77,P42,NCS,2
78,P43,NCS,2
79,I4,NCS,2
80,I41,NCS,2
81,P-4,NCS,1
82,I-4,NCS,1
83,P4/m,CS,0
84,P42/m,CS,0
85,P4/n,CS,0
86,P42/n,CS,0
87,I4/m,CS,0
88,I41/a,CS,0
89,P422,NCS,0
90,P4212,NCS,0
91,P4122,NCS,0
92,P41212,NCS,0
93,P4222,NCS,0
94,P42212,NCS,0
95,P4322,NCS,0
96,P43212,NCS,0
97,I422,NCS,0
98,I4122,NCS,0
99,P4mm,NCS,1
100,P4bm,NCS,1
101,P42cm,NCS,1
102,P42nm,NCS,1
103,P4cc,NCS,1
104,P4nc,NCS,1
105,P42mc,NCS,1
106,P42bc,NCS,1
107,I4mm,NCS,1
108,I4cm,NCS,1
109,I41md,NCS,1
110,I41cd,NCS,1
111,P-42m,NCS,1
112,P-42c,NCS,1
113,P-421m,NCS,1
114,P-421c,NCS,1
115,P-4m2,NCS,1
116,P-4c2,NCS,1
117,P-4b2,NCS,1
118,P-4n2,NCS,1
119,I-4m2,NCS,1
120,I-4c2,NCS,1
121,I-42m,NCS,1
122,I-42d,CS,0
123,P4/mmm,CS,0
124,P4/mcc,CS,0
125,P4/nbm,CS,0
126,P4/nnc,CS,0
127,P4/mbm,CS,0
128,P4/mnc,CS,0
129,P4/nmm,CS,0
130,P4/ncc,CS,0
131,P42/mmc,CS,0
132,P42/mcm,CS,0
133,P42/nbc,CS,0
134,P42/nnm,CS,0
135,P42/mbc,CS,0
136,P42/mnm,CS,0
137,P42/nmc,CS,0
138,P42/ncm,CS,0
139,I4/mmm,CS,0
140,I4/mcm,CS,0
141,I41/amd,CS,0
142,I41/acd,CS,0
143,P3,NCS,2
144,P31,NCS,2
145,P32,NCS,2
146,R3,NCS,2
147,P-3,CS,0
148,R-3,CS,0
149,P312,NCS,1
150,P321,NCS,1
151,P3112,NCS,1
152,P3121,NCS,1
153,P3212,NCS,1
154,P3221,NCS,1
155,R32,NCS,1
156,P3m1,NCS,1
157,P31m,NCS,1
158,P3c1,NCS,1
159,P31c,NCS,1
160,R3m,NCS,1
161,R3c,NCS,1
162,P-31m,CS,0
163,P-31c,CS,0
164,P-3m1,CS,0
165,P-3c1,CS,0
166,R-3m,CS,0
167,R-3c,CS,0
168,P6,NCS,1
169,P61,NCS,1
170,P65,NCS,1
171,P62,NCS,1
172,P64,NCS,1
173,P63,NCS,1
174,P-6,CS,0
175,P6/m,CS,0
176,P63/m,CS,0
177,P622,NCS,2
178,P6122,0,
179,P6522,0,
180,P6222,0,
181,P6422,0,
182,P6322,0,
183,P6mm,NCS,1
184,P6cc,NCS,1
185,P63cm,NCS,1
186,P63mc,NCS,1
187,P-6m2,CS,0
188,P-6c2,CS,0
189,P-62m,CS,0
190,P-62c,CS,0
191,P6/mmm,CS,0
192,P6/mcc,CS,0
193,P63/mcm,CS,0
194,P63/mmc,CS,0
195,P23,NCS,0
196,F23,NCS,0
197,I23,NCS,0
198,P213,NCS,0
199,I213,NCS,0
200,Pm-3,CS,0
201,Pn-3,CS,0
202,Fm-3,CS,0
203,Fd-3,CS,0
204,Im-3,CS,0
205,Pa-3,CS,0
206,Ia-3,CS,0
207,P432,NCS,0
208,P4232,NCS,0
209,F432,NCS,0
210,F4132,NCS,0
211,I432,NCS,0
212,P4332,NCS,0
213,P4132,NCS,0
214,I4132,NCS,0
215,P-43m,CS,0
216,F-43m,CS,0
217,I-43m,CS,0
218,P-43n,CS,0
219,F-43c,CS,0
220,I-43d,CS,0
221,Pm-3m,CS,0
222,Pn-3n,CS,0
223,Pm-3n,CS,0
224,Pn-3m,CS,0
225,Fm-3m,CS,0
226,Fm-3c,CS,0
227,Fd-3m,CS,0
228,Fd-3c,CS,0
229,Im-3m,CS,0
230,Ia-3d,CS,0
