Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
907,B3Na3O9Tb2,009cfb012b,Na3Tb2(BO3)3,"['B', 'O', 'Na', 'Tb']",17,199.0644,4.6985,mm2,Amm2,38,orthorhombic,-129.2519,-3.0254,-0.0098,intercalated ion,,True,-0.0,,-0.0098,-0.0016
4819,B4Ca8Cd4O28P4,033401c767,Ca2CdBPO7,"['B', 'O', 'P', 'Ca', 'Cd']",48,642.0284,3.5832,mm2,Pna2_1,33,orthorhombic,-348.4104,-2.9533,-0.0071,intercalated ion,,True,0.0,,-0.0071,-0.0071
8100,B8Ce1O20Zr3,056e07c29b,CeZr3(B2O5)4,"['B', 'O', 'Zr', 'Ce']",32,291.2775,4.6762,1,P1,1,triclinic,-286.5374,-3.2052,-0.0044,3D,2.0884,True,0.0,,-0.0044,-0.0044
10748,B4K4Mg3O32P8Zn1,073e39e7f7,K4Mg3ZnB4(PO4)8,"['B', 'O', 'Mg', 'P', 'K', 'Zn']",52,707.9434,2.5748,1,P1,1,triclinic,-384.9066,-2.8086,-0.0072,intercalated ion,,False,0.0,,-0.0072,-0.007
11199,B6Ce2O18Tm2Y2,078ecff857,CeYTm(BO3)3,"['B', 'O', 'Y', 'Ce', 'Tm']",30,343.4331,5.5544,2,C2,5,monoclinic,-269.0027,-3.5371,-0.0504,3D,,False,0.0,,-0.0504,-0.0223
13470,B4Ga4O16Pb1Sn3,0906ceb900,Ga4Sn3B4PbO16,"['B', 'O', 'Ga', 'Sn', 'Pb']",28,354.4892,5.3469,m,Pm,6,monoclinic,-198.5181,-2.3136,-0.0188,3D,3.0177,True,0.0,,-0.0188,-0.0143
13730,B2La6Np2O18,092dbcb121,La3NpBO9,"['B', 'O', 'La', 'Np']",28,415.7428,6.4587,6,P6_3,173,hexagonal,-260.7495,-3.672,-0.1615,3D,0.6737,True,0.0,,-0.1615,-0.1443
17072,B2F12O2,0b6ff23a5e,BOF6,"['B', 'O', 'F']",16,229.1298,2.0408,m,Cc,9,monoclinic,-75.2511,-1.8162,-0.0733,0D,0.1871,True,0.0,,-0.0733,-0.0638
19880,Ag1B18Ba2Li1O30,0d50512370,Ba2LiAg(B3O5)6,"['Li', 'B', 'O', 'Ag', 'Ba']",52,650.3745,2.7167,32,R32,155,trigonal,-426.4247,-2.8688,-0.0036,intercalated ion,4.2239,True,0.0,,-0.0036,-0.0036
30786,B2La6O18Te2,1488fe976b,La3BTeO9,"['B', 'O', 'Te', 'La']",28,400.4828,5.7976,6,P6_3,173,hexagonal,-227.8111,-3.1959,-0.0068,3D,3.353,True,0.0,,-0.0068,-0.0068
33812,B20Be8La1O44Tb2Y1,169206bb99,LaTb2YBe8(B5O11)4,"['Be', 'B', 'O', 'Y', 'La', 'Tb']",76,758.2383,3.3681,1,P1,1,triclinic,-637.1839,-3.096,-0.0142,intercalated ion,,True,0.0,,-0.0142,-0.0142
39630,B4Li4O32S7Se1,1a72889aad,Li4B4SeS7O32,"['Li', 'B', 'O', 'S', 'Se']",48,646.7019,2.276,1,P1,1,triclinic,-323.9962,-2.0595,-0.0048,intercalated ion,,True,0.0,,-0.0048,-0.0021
41582,As5B1Ca3O20Sr3,1bba045ee8,Sr3Ca3B(AsO4)5,"['B', 'O', 'Ca', 'As', 'Sr']",32,494.382,3.6561,1,P1,1,triclinic,-224.1146,-2.628,-0.0033,intercalated ion,3.6411,True,0.0,,-0.0033,-0.0033
42419,B3Na3O9Tb2,1c4da48979,Na3Tb2(BO3)3,"['B', 'O', 'Na', 'Tb']",17,199.0644,4.6985,mm2,Amm2,38,orthorhombic,-129.2519,-3.0254,-0.0098,intercalated ion,,True,-0.0,,-0.0098,-0.0016
44832,B2Ba2O6P2Sr4,1df13413b0,BaSr2BPO3,"['B', 'O', 'P', 'Sr', 'Ba']",16,328.35,4.0695,6mm,P6_3mc,186,hexagonal,-105.4791,-2.5631,-0.0047,intercalated ion,2.1869,True,0.0,,-0.0047,-0.0047
46660,B6Gd3O18Tb3,1f215f3ae1,TbGd(BO3)2,"['B', 'O', 'Gd', 'Tb']",30,342.3631,6.312,1,P1,1,triclinic,-291.0742,-3.5268,-0.0429,3D,3.3733,False,0.0,,-0.0429,-0.0002
