Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
5625,Cs4N8Nb4O32,03c16931ec,CsNb(NO4)2,"['N', 'O', 'Nb', 'Cs']",48,868.703,2.9194,222,P2_12_12_1,19,orthorhombic,-349.3815,-1.6743,-0.0183,intercalated ion,,True,0.0,,-0.0183,-0.0115
8319,C12Ca3Cd3N12O12,059ea2a5be,CaCdC4(NO)4,"['C', 'N', 'O', 'Ca', 'Cd']",42,473.3728,3.3734,3,R3,146,trigonal,-330.1589,-1.22,-0.0342,intercalated ion,3.5607,True,0.0,,-0.0342,-0.024
17306,Al8Ba4N8O12Si4,0b9a5215a8,BaAl2SiN2O3,"['N', 'O', 'Al', 'Si', 'Ba']",36,485.126,4.0443,222,P2_12_12_1,19,orthorhombic,-279.4461,-2.6121,-0.007,intercalated ion,3.8298,True,0.0,,-0.007,-0.0049
22306,Ce4N11O1Ta4,0eda0f6106,Ce4Ta4N11O,"['N', 'O', 'Ce', 'Ta']",20,257.6714,9.3723,m,Pm,6,monoclinic,-201.963,-1.7075,-0.1158,3D,0.0014,True,0.0,,-0.1158,-0.0877
32691,Ce2N1O1P1,15d59004a8,Ce2PNO,"['N', 'O', 'P', 'Ce']",5,89.7404,6.3137,3m,P3m1,156,trigonal,-41.8955,-2.2663,-0.0681,3D,0.6651,True,0.0,,-0.0681,-0.0009
33016,As3Ce4N2O2,1610cbfc95,Ce4As3(NO)2,"['N', 'O', 'As', 'Ce']",11,209.0789,6.713,mm2,Amm2,38,orthorhombic,-87.4312,-2.1048,-0.139,3D,0.0625,True,0.0,,-0.139,-0.0929
33827,Ag6N1O11Y1,16949597bc,YAg6NO11,"['N', 'O', 'Y', 'Ag']",19,261.76,5.875,3m,R3m,160,trigonal,-105.1692,-0.997,-0.0152,3D,0.003,True,0.0,,-0.0152,-0.0151
39399,Ag5Li1N1O11Tm1,1a4cb371d8,LiTmAg5NO11,"['Li', 'N', 'O', 'Ag', 'Tm']",19,248.5036,6.0488,m,Cm,8,monoclinic,-105.3017,-1.1574,-0.0055,intercalated ion,0.0018,False,0.0,,-0.0055,-0.0048
45967,Ag6N1O11Pb1,1eb4829587,Ag6PbNO11,"['N', 'O', 'Ag', 'Pb']",19,264.213,6.564,3m,R3m,160,trigonal,-96.1132,-0.6653,-0.0092,3D,0.0013,True,0.0,,-0.0092,-0.0091
47052,F6Ir4N3O1,1f654c21bd,Ir4N3OF6,"['N', 'O', 'F', 'Ir']",14,164.9779,9.4701,1,P1,1,triclinic,-92.412,-1.1166,-0.0614,3D,0.0004,True,-0.0,,-0.0614,-0.0566
55622,Ba2N3O6Sr1Ta3,24fbeff2b4,Ba2SrTa3(NO2)3,"['N', 'O', 'Sr', 'Ba', 'Ta']",15,210.6567,8.2227,m,Pm,6,monoclinic,-136.4082,-2.7073,-0.0086,intercalated ion,0.8992,True,0.0,,-0.0086,-0.0028
60873,As1Ce2N1O1,288c1e4121,Ce2AsNO,"['N', 'O', 'As', 'Ce']",5,93.5796,6.8345,3m,P3m1,156,trigonal,-41.1014,-2.2583,-0.096,3D,0.4031,True,0.0,,-0.096,-0.0542
61257,F6Ir4N1O3,28cfeb88d5,Ir4N(OF2)3,"['N', 'O', 'F', 'Ir']",14,165.1739,9.499,1,P1,1,triclinic,-89.1358,-1.3666,-0.0412,3D,0.0127,True,0.0,,-0.0412,-0.0394
65954,Ag6Bi1N1O11,2c085a4a41,Ag6BiNO11,"['N', 'O', 'Ag', 'Bi']",19,267.1204,6.5036,3m,R3m,160,trigonal,-96.8567,-0.6951,-0.0162,3D,0.0015,True,0.0,,-0.0162,-0.016
74169,F12N1O3Os4,3175a36f41,Os4N(OF4)3,"['N', 'O', 'F', 'Os']",20,354.4768,4.9229,1,P1,1,triclinic,-127.815,-1.8394,-0.0647,2D,0.1878,True,0.0,,-0.0647,-0.0611
76339,N1Np2O1S1,32e1dd690c,Np2SNO,"['N', 'O', 'S', 'Np']",5,83.2197,10.6966,3m,P3m1,156,trigonal,-54.8006,-2.2968,-0.1336,3D,0.0002,True,0.0,,-0.1336,-0.0215
77539,Cs2H1N1O6,33b8e8b4f1,Cs2HNO6,"['H', 'N', 'O', 'Cs']",10,205.3976,3.0464,mm2,Pmm2,25,orthorhombic,-55.9474,-1.274,-0.0765,intercalated ion,0.3095,True,-0.0,,-0.0765,-0.0719
86122,N2Na4Nb2O4,39782abc7a,Na2NbNO2,"['N', 'O', 'Na', 'Nb']",12,194.1516,3.1627,mm2,Cmc2_1,36,orthorhombic,-85.9028,-1.9954,-0.0196,intercalated ion,3.4802,False,0.0,,-0.0196,-0.0144
86967,C1K2N1O6,3a03aea2fa,K2CNO6,"['C', 'N', 'O', 'K']",10,177.0809,1.8774,m,Pm,6,monoclinic,-65.8437,-1.6372,-0.0155,intercalated ion,0.2062,True,0.0,,-0.0155,-0.0078
89738,Ag1N5O14,3bdadbf5e7,AgN5O14,"['N', 'O', 'Ag']",20,308.1646,2.1656,-4,I-4,82,tetragonal,-127.2907,-0.6752,-0.0624,0D,0.7665,False,0.0,,-0.0624,-0.0607
96297,Bi4I2N2O16,40430e0d62,Bi2INO8,"['N', 'O', 'I', 'Bi']",24,363.7233,6.2716,2,P2_1,4,monoclinic,-143.2196,-1.1988,-0.0367,2D,2.4974,True,0.0,,-0.0367,-0.0367
96865,Ag6N1O11Pb1,40a158fb4b,Ag6PbNO11,"['N', 'O', 'Ag', 'Pb']",19,263.8836,6.5721,3m,R3m,160,trigonal,-96.1136,-0.6653,-0.0093,3D,0.0009,True,0.0,,-0.0093,-0.0091
107301,Ag5Cu1N1O11Pb1,47908a44ab,CuAg5PbNO11,"['N', 'O', 'Cu', 'Ag', 'Pb']",19,253.3291,6.5554,m,Cm,8,monoclinic,-98.5212,-0.7254,-0.01,3D,0.0008,True,0.0,,-0.01,-0.01
114191,N1O3S24,4c15a9eeb1,S24NO3,"['N', 'O', 'S']",28,959.4778,1.4392,3m,R3m,160,trigonal,-136.8636,-0.5146,-0.2698,,,,0.0,,-0.2698,-0.2488
117093,Ag6La1N1O11,4dfcba4bfe,LaAg6NO11,"['N', 'O', 'Ag', 'La']",19,269.3417,6.0179,3m,R3m,160,trigonal,-103.6318,-0.9967,-0.0239,3D,0.0023,False,0.0,,-0.0239,-0.0055
126199,N3O8,540542acf5,N3O8,"['N', 'O']",11,164.1678,1.7197,1,P1,1,triclinic,-71.5002,-0.6279,-0.0298,0D,0.8728,True,-0.0,,-0.0298,-0.0298
139561,F1N1O4Re2,5ce38ada56,Re2NO4F,"['N', 'O', 'F', 'Re']",8,112.4911,6.9293,mm2,Amm2,38,orthorhombic,-70.0512,-1.8903,-0.0818,3D,0.0276,True,0.0,,-0.0818,-0.0791
148300,Ce2I2N1O1,62b72946ca,Ce2I2NO,"['N', 'O', 'I', 'Ce']",6,161.2307,5.8092,-42m,P-4m2,115,tetragonal,-42.6498,-2.4085,-0.1954,2D,0.0003,True,0.0,,-0.1954,-0.0133
