Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
22,Br18Hf1Nb2Zr1,0003bad533,HfZr(NbBr9)2,"['Br', 'Zr', 'Nb', 'Hf']",22,947.9661,3.3173,m,Pm,6,monoclinic,-102.4436,-1.5578,-0.0182,0D,,True,0.0,,-0.0182,-0.0011
37,Cs17Lu5O16,0006ba6013,Cs17Lu5O16,"['O', 'Cs', 'Lu']",38,1035.0074,5.4392,m,Cm,8,monoclinic,-200.3375,-2.1933,-0.0387,1D,inf,True,0.0,,-0.0387,-0.0387
54,Ac5As1O12Pd1,000a74e81f,Ac5AsPdO12,"['O', 'As', 'Pd', 'Ac']",19,306.2263,8.1791,2,C2,5,monoclinic,-146.9455,-3.0066,-0.1446,3D,,True,0.0,,-0.1446,-0.1336
101,Lu3O24Tm1W4Y4,0011925c0a,Y4TmLu3(WO6)4,"['O', 'Y', 'Tm', 'Lu', 'W']",36,453.4655,7.9419,1,P1,1,triclinic,-334.1043,-3.3227,-0.0054,3D,,True,0.0,,-0.0054,-0.0053
131,F18Li6O9Tc6,0016db15c9,Li2Tc2(OF2)3,"['Li', 'O', 'F', 'Tc']",39,553.4963,3.3469,32,P3_121,152,trigonal,-253.435,-2.5867,-0.1072,intercalated ion,0.0002,False,-0.0,,-0.1072,-0.0614
189,Br35H1,00202c7a97,HBr35,"['H', 'Br']",36,1793.7135,2.5899,1,P1,1,triclinic,-78.8607,-0.5049,-0.476,0D,,True,0.0,,-0.476,-0.4759
223,Ba4Ga4Ge1O14Si1,0027d60140,Ba4Ga4SiGeO14,"['O', 'Si', 'Ga', 'Ge', 'Ba']",24,392.3109,4.88,1,P1,1,triclinic,-166.5314,-2.8093,-0.0136,intercalated ion,2.968,True,0.0,,-0.0136,-0.0119
258,Ba3O9Tm3Y1,002f1d5f95,Ba3YTm3O9,"['O', 'Y', 'Ba', 'Tm']",16,271.4971,7.044,3,R3,146,trigonal,-127.9263,-3.609,0.0,,,,0.0,,0.0,0.0
261,As3Br18Cs2Rb4Sc1,002f783acd,Cs2Rb4Sc(AsBr6)3,"['Sc', 'As', 'Br', 'Rb', 'Cs']",28,1027.0275,3.7441,3m,P3m1,156,trigonal,-100.2364,-1.5982,-0.0316,intercalated ion,2.4662,True,0.0,,-0.0316,-0.0157
295,K2O12W4,0033d0c8ce,K(WO3)2,"['O', 'K', 'W']",18,290.0799,5.7562,mm2,Ima2,46,orthorhombic,-153.8765,-2.2471,-0.0088,intercalated ion,1.7351,False,0.0,,-0.0088,-0.004
304,F18Pt1S2,0034d8ad32,Pt(SF9)2,"['F', 'S', 'Pt']",21,355.2755,2.8099,m,Cm,8,monoclinic,-88.4667,-1.8913,-0.0013,0D,0.0004,False,0.0,,-0.0013,-0.0012
