Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
9832,Na2O64S16Sb6,069ab74c1f,NaSb3(SO4)8,"['O', 'Na', 'S', 'Sb']",88,1173.1948,3.2746,m,Pc,7,monoclinic,-561.2904,-1.716,-0.0366,intercalated ion,,True,0.0,,-0.0366,-0.0344
16931,Ac2Gd2O24S6,0b578f5646,AcGd(SO4)3,"['O', 'S', 'Gd', 'Ac']",34,580.5307,3.8469,m,Cc,9,monoclinic,-269.5615,-2.634,-0.3985,3D,,True,0.0,,-0.3985,-0.3259
18985,In1O24Pu3S6,0cb7c23bd1,Pu3In(SO4)6,"['O', 'S', 'In', 'Pu']",34,578.4729,4.0854,3,R3,146,trigonal,-267.5574,-2.3068,-0.1001,3D,,True,-0.0,,-0.1001,-0.0994
47209,Gd2La2O24S6,1f7f32bd4c,LaGd(SO4)3,"['O', 'S', 'La', 'Gd']",34,580.5307,3.3429,m,Cc,9,monoclinic,-271.1617,-2.6343,-0.2863,3D,2.9692,True,0.0,,-0.2863,-0.1018
74592,O24Pd3S6,31b5f5bb04,Pd(SO4)2,"['O', 'S', 'Pd']",33,438.8704,3.3888,3,R3,146,trigonal,-205.608,-1.409,-0.0627,3D,,True,0.0,,-0.0627,-0.0437
84281,Cs1O8S2Tm1,3841c4fdc3,CsTm(SO4)2,"['O', 'S', 'Cs', 'Tm']",12,227.8183,3.6004,32,P321,150,trigonal,-84.2625,-2.5862,-0.0299,intercalated ion,5.5553,True,0.0,,-0.0299,-0.0298
91922,Ca2O24S6Zr2,3d52151e75,CaZr(SO4)3,"['O', 'S', 'Ca', 'Zr']",34,542.74,2.5669,3,R3,146,trigonal,-249.6955,-2.5006,-0.035,intercalated ion,,True,0.0,,-0.035,-0.0042
96775,Au4Ca1O32S8Sr1,40939a4f0d,SrCaAu4(SO4)8,"['O', 'S', 'Ca', 'Sr', 'Au']",46,746.7736,3.7447,2,C2,5,monoclinic,-288.2182,-1.7392,-0.0307,intercalated ion,,True,0.0,,-0.0307,-0.0303
106530,Na2O24S6W2,470ab42494,NaW(SO4)3,"['O', 'Na', 'S', 'W']",34,556.3389,2.955,1,P1,1,triclinic,-236.556,-1.8946,-0.0016,intercalated ion,2.4039,True,0.0,,-0.0016,-0.0012
111917,Li2O24S6W2,4a93dead3f,LiW(SO4)3,"['Li', 'O', 'S', 'W']",34,542.9096,2.9299,1,P1,1,triclinic,-238.1645,-1.9077,-0.0029,intercalated ion,2.4085,True,0.0,,-0.0029,-0.0011
113743,Ge3Hg1O24S6,4bcca42636,HgGe3(SO4)6,"['O', 'S', 'Ge', 'Hg']",34,457.6066,3.6102,3,R3,146,trigonal,-215.8107,-1.7171,-0.0126,3D,,True,0.0,,-0.0126,-0.0121
